"id","profileName","text","date","title","rating","images","helpful","variant:"
"R3LYMQY0KLLAY7","NatRomero","La vd si atrajo a mi gato adulto que prefiere siempre ir al jardín, pero era un problema que quisiera ir durante la madrugada, por lo que opté por comprarle esta arena a ver si así ya lo convencía de ir a su arenero si es de noche, y sí empezó a ir. Seguro entre la textura y el olor le agradó, quizá se asemejó un poco más a la tierra del jardín. La he vuelto a comprar cuando mi gato decide que de nuevo no quiere usar su arenero.","Revisado en México el 30 de septiembre de 2024","La vd si atrajo a mi gato senior","5.0 de 5 estrellas","","0",
"R2OCZ2MFT11MJM","Verónica Plascencia","Cuando Jerome llegó a mi hogar a los dos meses de edad, no sabía hacer en su arenero, después de liderar un poco con eso encontré esta arena que prometía resolver el problema con su tecnología de atrayente, y lo cumplió, apenas se la coloqué y mi gatito jamás volvió hacer fuera del arenero. Lo cierto es que cuando aprendió y decidí ponerle la arena que mi otro gato usaba al principio no le gusto mucho, me imagino que la textura porque está arena es mucho más ligera, al cambiársela le molestaba que la nueva se le quedaran algunos granos en sus patitas, lo supero rápido.

Recientemente recate a tres gatitos de apenas un mes que fueron tirados a la basura y al ser huérfanos y no tener una madre que los acicalara y los enseñara a hacer en su arenero sufrí lo mismo, hacían enseñara todos lados excepto su arenero, luego recordé la bendición que era este producto para entrenar a bebés para que aprendan a hacer en su arenero y nuevamente la bendición. Inmediatamente dejaron de hacer fuera. Estoy muy feliz con este producto, lo mega recomiendo para todo aquel que tenga este problema.
10/10 five stars","Revisado en México el 23 de agosto de 2024","La mejor arena para gatos bebés","5.0 de 5 estrellas","","0",
"R1DQYZDZ189KOM","Miroslava","El producto es muy bueno, el problema es que me llego en mal estado estaba rota la bolsa del sello de producto frágil y la arena se derramaba, así que es importante que el empaque esta bien reforzado o de plano colocarlo en otra caja.","Revisado en México el 20 de marzo de 2024","Me llego en malas condiciones","2.0 de 5 estrellas","","0",
"R2QOWG7FZV5J","Jesuspt","... Mi gatito dejó de hacer sus necesidades fuera de su caja, absolutamente!
Productos milagro... que sí funciona!","Revisado en México el 2 de septiembre de 2023","Cómo por arte de magia...","5.0 de 5 estrellas","","0",
"R14IY2KSOEY4JD","Renata","Desde que tengo a mi gato no había usado su arenero, intenté de todo, cambiar la marca de arena, diferentes tipos de arenero, cambiar de lugar la caja, etc. Estuve luchando con esto por 5 meses.
Le puse esta arena en su caja y el solito se metió y fue al baño. 100% lo recomiendo.
Edit: Hable muy pronto... solo la uso una vez y de nuevo está haciendo fuera de arenero :(","Revisado en México el 3 de agosto de 2020","Simplemente milagrosa!","5.0 de 5 estrellas","https://images-na.ssl-images-amazon.com/images/I/718jCM9RBbL.jpg","0",
"RYMRGRMGV6670","Darbaby","I firmly believe this was a crucial training incentive for the kittens to use the litter pan. They began at 3 weeks to use the pan.. cats already know.. but.. I believe it was a good idea to have this extra layer in their training. I would recommend it to anyone with a kitten to start out with.","Revisado en los Estados Unidos el 4 de enero de 2026","good product.","5.0 de 5 estrellas","","0",
"R3FDX2PY7LXBY2","Felicia Brown","I was very hopeful with this product as my kitten pees everywhere BUT the box. Unfortunately he didnt seem to want to use the box any more with this product.","Revisado en los Estados Unidos el 16 de noviembre de 2025","Sadly didn't work for me","2.0 de 5 estrellas","","0",
"R28GNUAHA4C88I","Alex","Good for if you’re training a kitten to use litter box.","Revisado en el Reino Unido el 28 de agosto de 2025","Good litter","5.0 de 5 estrellas","","0",
"R3BX08JF5VZZ0Z","Barbie","Why did you pick this product vs others?:Some issues I have with this litter is that if they are REALLY young kittens (like if you start litter-training them right at 3 weeks) I worry about it being a clumping kind of litter (like imagine if young kittens accidentally eat CLUMPING litter with how curious they are; it can clump in their GI tract & be fatal). I highly suggest if you *DO* want the easy cleanup clumping litter provides, maybe do a light layer of this underneath/mixed with larger natural based pellet litter instead & monitor closely or make sure they're on a scheduled potty time where you can watch them for a week or 2. (it's usually recommended that while training you use a natural nonclumping litter like pellets or corn-based litter & a very shallow cardboard box they can easily step into, then you can easily throw the whole thing out after when it's full). As they get older tho they might start digging more (whether out of boredom or playing) and kicking it around so it WILL create mess (kinda unavoidable), so keep that in mind as well. I think ours started doing that at about 7 weeks. The mess is not fun for sure and we did have issues with them accidentally stepping in the wrong spot after they'd use the bathroom sometimes for a little while so that would track gross mess too. The good things about it tho is the kitten attract DEFINITELY works because it was not difficult training them at all (although we did train them kinda later at 5 weeks instead of 3-4) they took right to it and had no issues making a habit out of going in the litterbox (getting them not to play in it was another issue lol). The clumping of course does make the clean up very easy; it's very absorbent. The odor control is as good as it can be when you have 3 kittens lol like as long as i'm on top of scooping we're good on the smell of course. Please just wait til their about 8 weeks as advertised on the package before using this for your kittens. go for pellets or corn-based (just anything natural and NON-clumping) for neonatal kittens younger than 8 weeks!!!!","Revisado en los Estados Unidos el 24 de junio de 2025","Used this when litter-training - NOT USUALLY RECCOMMENDED FOR NEONATAL KITTENS!!!","4.0 de 5 estrellas","","0",
"R3O4LFI670NALF","Autumlee","It’s alright, we love the dr elsyes normal litter (with the blue trim) this kitten one tracts a lot compared to it, if you can get your kitten to like the regular one from the start I would recommend!","Revisado en los Estados Unidos el 10 de junio de 2025","It’s alright","3.0 de 5 estrellas","","0",
"R15UE0WCV03S0P","Sam","Great product. I have two kittens. One of them does his business perfectly fine, but my little girl prefers to poop and wee in the shower tray. We tried everything. Eventually we bought this, it's so expensive, but it does last ages. She still poops in the shower tray, but she now wees in this litter.It clumps very well. It doesn't track too much, but my boy kicks it everywhere.I'd highly recommend giving it a try if you're having problems. We get about a month out of one box for 2 kittens; which I suppose isn't too bad.","Revisado en el Reino Unido el 8 de junio de 2025","Finally something that works","5.0 de 5 estrellas","","0",
"R2U8PQZ7SE3B5Q","Amazon Customer","Wow I am shocked ! It worked !
My new kitten finally used the litter box!
Such a relief ! This litter is magic now my older cat is using it 🤣🤣","Revisado en el Reino Unido el 17 de mayo de 2025","It works !","5.0 de 5 estrellas","","0",
"R122QUSZTBIT2D","iris","i couldn’t recommend more , had a few toilet trading issues with my kittens and i swear after i put them in the litter twice they’ve not had an accident since , liter quality is amazing smell was gorgeous when fresh obviously after it’s used it’s not as clean smelling but definitely masked the smell , auch a good value of money esp if ur cats struggling with using the toilet","Revisado en el Reino Unido el 4 de mayo de 2025","so good!","5.0 de 5 estrellas","","0",
"RGF1R3O6ILST1","Kara Medina","I tried all of the Dr. Elsey litters and am buying this one exclusively now. My cat liked it the most, and so do I. The litter is like sand. Amazon no longer offers free shipping for this, so I get it from Petco now. The boxes are super easy to store and pour compared to bags.","Revisado en los Estados Unidos el 4 de mayo de 2025","Litter like sand. Love it.","5.0 de 5 estrellas","","0",
"R3CMBKW8RCYY3Y","Mrs. Rosalind Sherriff","Kitten who liked to use the sofa rather than the litter tray was litter trained in days with this brilliant product. Altho' it is expensive to buy, it lasts for ages as it clumps so well and the rest of the litter in the tray doesn't smell at all, so doesn't need changing. I have another tray with the white litter right beside it and altho' my kitten will scrabble in it she won't use it at all.","Revisado en el Reino Unido el 7 de abril de 2025","Best litter on the market.","5.0 de 5 estrellas","","0",
"R2D8LOSA9FHHO4","Deirdre","Product works. My kitten went straight for it to use instead of the floor.","Revisado en los Estados Unidos el 5 de abril de 2025","Product works","5.0 de 5 estrellas","","0",
"R2QZK4N9X4T95","Kat Lorentz","This is the only litter I use. I have a four year old Persian cat, Jasmine Rose, who is very sensitive to odors, so unscented litter is a must. She also has very sensitive paw pads and a sandy type versus crystals or textured litter is also a must. This litter is unscented and has a sand like texture. The other pluses are that it is odor resistant and clumps well making keeping her box clean easy for me. If your fur baby is having litter box issues, please consider trying this litter. They may have similar problems like my Jasmine.","Revisado en los Estados Unidos el 31 de marzo de 2025","Great Litter for Adult Cats Also","5.0 de 5 estrellas","","0",
"R2AMN4BHOH5GKI","VanessaM","My kitty was having accidents out of her box. This litter attract worked wonders. It also came with a guide book had some great ideas on how to help with kitty accidents.","Revisado en los Estados Unidos el 10 de marzo de 2025","This kitty litter worked","5.0 de 5 estrellas","","0",
"R1KO4OA98Y0BL2","Nikki B","Seems like OK litter. Did not help my kitten use the litter box unfortunately. Did track outside of the box, was slightly dusty.","Revisado en los Estados Unidos el 13 de febrero de 2025","Didn’t work for us","2.0 de 5 estrellas","","0",
"R396DLQS8E7BX5","Lois","I love this kitty litter! There is no smell when the cats do their business. Initially when they poop you can smell it but within minutes the poop smell is gone. My friend said that she wouldn't even know I had a cat because whenever she comes to my place it doesn't smell. It's very absorbent and easy to clean. I will always use this particular brand.","Revisado en los Estados Unidos el 7 de febrero de 2025","Best kitty litter ever!","5.0 de 5 estrellas","","0",
"R29S03JOV35FTH","Amazon Customer","It’s very fine litter! My kitten did take to it right away
Because it’s super fine, the urine turns to mud…..","Revisado en los Estados Unidos el 21 de enero de 2025","Litter","4.0 de 5 estrellas","","0",
"R3MHPQ7OR6UFSI","Rhonda S.","Meh. Didn't attract him whatsoever. He did eventually use the litter box, however.","Revisado en los Estados Unidos el 1 de enero de 2025","Meh.","1.0 de 5 estrellas","","0",
"RH9Z625LLHJUB","Phil Watson","Best cat litter I’ve ever used. It really is that great.","Revisado en los Estados Unidos el 16 de diciembre de 2024","My cat loved it","5.0 de 5 estrellas","","0",
"R25X1LH0PO99XQ","Sara","Kitten used the tray within 20 mins after refusing to even entertain the tray for the previous 5 days. 16 hours later and he has used it 3 more times. This stuff works! Although it's small grains he hasn't make a dusty mess outside of the tray...yet! Easy to clean and a decent size box so hopefully we can eventually mix with the old litter until he is using just that. I am glad we didn't waste money trying different brands that may or may not have worked.","Revisado en el Reino Unido el 13 de diciembre de 2024","The Christmas magic we needed!","5.0 de 5 estrellas","","0",
