"id","profileName","text","date","title","rating","images","helpful","variant:"
"RFAGGE7XK6O73","Ana Nascimento","It brings inside a leaflet explaining strategies and why the Attractant should help cats stop eliminating outside the litter box.For customers outside the USA, pay attention to the taxes and shipping expenses: For Portugal I paid almost as much as the price itself.","Revisado en los Estados Unidos el 22 de enero de 2026","Attention to shipping expenses","4.0 de 5 estrellas","","0",
"R1LWHRRPJM7J9P","Michael Lauer","works great saved money by  buying three.","Revisado en los Estados Unidos el 25 de noviembre de 2025","works","5.0 de 5 estrellas","","0",
"R1NQD4B6GIA85J","Caitlin P.","This product is a life saver for litter box use issues! You can mix it with any litter of your choice to help entice cats to use it. I used this when I changed to new litter boxes, again when I changed litter types, and when adding new kittens to the house. I highly recommend.","Revisado en los Estados Unidos el 25 de noviembre de 2025","A must for any litter/litter box type changes","5.0 de 5 estrellas","","0",
"R30CBT4G893VHL","Book buddy","I tried everything to get my cat to use the litter box.  None of the tips worked.  My vet suggested this product and it is remarkable.No more floor cleanup.","Revisado en los Estados Unidos el 12 de noviembre de 2025","It works","5.0 de 5 estrellas","","0",
"RLNTMVAAOZLZ0","Kevin J. Kearns","Not sure why this does not come individually but instead forces us to buy 3 bags if we want to give it a try. All it is is catnip, maybe some lemongrass or valerian, they do not specify the ingredients anywhere. As a stopgap while waiting for it to arrive, I dusted the litter box with catnip, which worked just fine for our cat who has suddenly decided to poop outside of the box for the last month. But I thought this would be more than what it is.I'll use up the 3 bags but we already grow catnip so I will just dry that myself for free.","Revisado en los Estados Unidos el 5 de noviembre de 2025","It is just catnip","3.0 de 5 estrellas","","0",
"RDV3PD1T82UI9","Daren Climbs","Pretty great stuff.  Helps keep the target area more attractive than other areas.  Product is ground up herbs (assuming more than just catnip, but who knows.) As a litter robot fan, I'm working to keep my target location way more attractive than the old litter box.  I do add a TINY bit of clumped up litter from old box to keep the ""understanding"" there.  Worth it - like an insurance payment.","Revisado en los Estados Unidos el 24 de septiembre de 2025","It's like insurance, worth it as it does work","5.0 de 5 estrellas","","0",
"RZMUJ6DZ6AYOP","Grandpa John","Works great for our cat! She had some behavioral problems with the litter box, but the Cat Attract got her back on track.","Revisado en los Estados Unidos el 25 de julio de 2025","Works great!","5.0 de 5 estrellas","","0",
"R2SYBLV3N4G6P0","Meg Nove","This stuff is magic for getting kitties to use the litter box. Mine loves it!","Revisado en los Estados Unidos el 11 de junio de 2025","Encourage litter box usage","5.0 de 5 estrellas","","0",
"R2U1319XVQYZ1L","Nataliya","SHOCKED!!!We got Whisker litter box and my cat was just refusing to use it. I was devastated and considered giving it back. We tried another litter attractant without any luck, so we tried to use one more. This did it.I would sprinkle some into the litter box and lead her into the machine. She would sniff around and immediately use the litter box.I would repeat this a few times through the day for about a week. She got accustomed to using the litter robot after that.She uses it all the time now and no use for this anymore.It didn’t have much of a smell and it has a texture of dried spices.I deducted one star only because there was no option to buy just one bag. It worked so well that we barely used half of one bag.Now I have two bags to donate.","Revisado en los Estados Unidos el 28 de abril de 2025","Worked for a cat that won’t use Whisker robot","4.0 de 5 estrellas","","0",
"R3FE726OOASQZ9","EL","I sprinkle this on top of my Dr Elsey’s clay litter when I want to be extra sure my cats go in the box.  It works — they love it.  I find the scent very pleasant and fresh, too.  It’s worth the cost, especially when you buy the 3-pack.  You only need to sprinkle a small amount on the litter each time to be effective (say, approximately 1 TBSP).","Revisado en los Estados Unidos el 10 de marzo de 2025","Definitely attracts my cats!","5.0 de 5 estrellas","","0",
"RUHR9DAQ2BMTO","Ronni","Horrible smell. Cat did not like it.","Revisado en los Estados Unidos el 10 de febrero de 2025","Persian Male Snubbed Nose","1.0 de 5 estrellas","","0",
"R37Z2BG4LUEEN3","H.Tell","I have a multicat household... but being disabled, I can't have twice as many litterboxes as cats. I have noticed there are many fewer out-of-the-box accidents when I use this product. It's also great for litter-training feral kittens (I'm a foster). It's a little pricey... but I have used substitutes, and they don't work. This stuff smells very nice and fresh and really does work.","Revisado en los Estados Unidos el 16 de enero de 2025","Great for litter training cats","5.0 de 5 estrellas","","0",
"R353ICZVZN7B7M","Don E","I put in the litter as instructed. tryed both used and new kitty litter, my cat ignores the box and this stuff only attracts boredum.","Revisado en los Estados Unidos el 11 de diciembre de 2024","this stuff does not work, it's worthless!","1.0 de 5 estrellas","","0",
"R31K67FD8Z705F","J. Ibberson","We have two Siamese cats who were peeing/marking all over the house. We first tried the Dr Elsey’s Cat Attract Litter (the one in the red box and an overnight miracle occurred! Thinking it would be more economical I ordered this, together with some unscented bentonite clay litter. Unfortunately, they reverted to peeing again, multiple times a day. Bought the Cat Attract Litter again and they’ve stopped. If this does not work for you, suggest you give the litter a try.","Revisado en el Reino Unido el 2 de diciembre de 2024","Didn’t work for us","2.0 de 5 estrellas","","0",
"RL3SXE8URMP99","Maverick","I have used this brand’s litter for many years as I do cat rescue. It always worked (well, 98% of the time).I do not like clay litters though and use World’s Best. Needing the pheromone treatment, I ordered this powder form so I could use it with my unscented non-clay litter.Aside from the fact that it’s green, I saw no indication that the cats noticed the pheromones. Unlike the clay litter Dr Elsey makes, which draws all the cats to it.I then tried it with two other non-clay litters, just in case the issue was WB. No go. It’s been a huge waste of money for me.If you can stand using the clay litter they make, I highly recommend it as a huge benefit bringing the reluctant cat to use the litter box.","Revisado en los Estados Unidos el 9 de noviembre de 2024","Really Disappointed","1.0 de 5 estrellas","","0",
"R2DB42T3FKEZE5","Teresa A. Ponziani","This product was recommended by my vet and has helped my cat to use his box consistently.","Revisado en los Estados Unidos el 21 de octubre de 2024","Clean the box and not the carpet!!!!!","5.0 de 5 estrellas","","0",
"R3NZJPEFOT6Y8U","Lexin","Product does what is says, but I don’t see why it is sold in groups of three. One worked just fine, meaning that the other two are a bit of a waste.","Revisado en el Reino Unido el 6 de octubre de 2024","Why buy three bags","3.0 de 5 estrellas","","0",
"R3GICBPV2JXGJO","Felicia J","I have a 1 year old kitten/cat and he has had trouble litter box training because he has cerebellar hyperplasia and a developmental delay. He seems to do better when this is sprinkled in his litter…at least I think so and along with keeping it clean of course.","Revisado en los Estados Unidos el 18 de septiembre de 2024","I think it works…","4.0 de 5 estrellas","","0",
"R30IDIYGAJVCAK","Kimberlynn B.","I was skeptical but this product works. I bought an automatic litter box and made the mistake of cycling it while they were watching and they were afraid of the litter box after that so I had to put the litter box on manual scoop mode in other words I would have to press the button to do it and I planned on putting a little curtain on it or something that I could cycle it without them watching LOL. I bought this litter additive to entice them to give the litter box a second chance and they did they're slowly warming up to the litter box again I put the other litter box that I scoop right next to it so they know that they are both to be used and I put litter additive only in the automatic litter box and initially the cat just went and sniffed around and then I found that when I wasn't looking one of them had gone in there and they are using it now more and more. This is worth the money and it will draw the cat into the litter box. The smell is very earthy. No dust from this product. The quality is good very effective without being obnoxious. No stickiness or anything like that. Very easy to incorporate into your litter. Just sprinkle it in and mix it in with your litter. Add a little extra if you think you need it it's not going to hurt them.","Revisado en los Estados Unidos el 1 de septiembre de 2024","This works ! Thank you.","5.0 de 5 estrellas","","0",
"R1CAHLB2EE88H6","Michelle","My cat had a PU surgery a few months ago. He needed to use litter that was not small particles like clay. We got the Breeze system with pellets. Hoped the litter attractant would help encourage him, but he would rather do his business on the bathroom floor mat or near the litter box.","Revisado en los Estados Unidos el 18 de agosto de 2024","Didn’t work for my cat","1.0 de 5 estrellas","","0",
"R18KCTB7EJ27D7","Cynthia Hemstreet","Save your money... Certainly doesn't attract cat to the box","Revisado en los Estados Unidos el 16 de agosto de 2024","Doesn't work","1.0 de 5 estrellas","","0",
"R38VJ45IK68LVN","Drue","Pretty dissatisfied with how this looked upon arrival. Would not recommend.","Revisado en los Estados Unidos el 22 de julio de 2024","See photo for details","1.0 de 5 estrellas","https://m.media-amazon.com/images/I/71HN5guYNpL.jpg","0",
"R1HWORVAXEIBX7","KC","cats seem to show more interest in the sandbox","Revisado en los Estados Unidos el 21 de junio de 2024","attracts cats as promised","4.0 de 5 estrellas","","0",
"R31O0IGUCISTEI","💚TosaT💚","This did not work at all. It smells kind of like alfalfa did not resolve the problem of the cats not using the box.","Revisado en los Estados Unidos el 12 de junio de 2024","No","1.0 de 5 estrellas","","0",
"R3VHAOJAWPFPLN","Margo Lemke","This was recommended by my vet for my 10 year old cat. He stopped using the litter box when a new kitten was brought into the home. We got him his own litter box and put this in with his litter and haven’t had any problems since. Have continued to use it with each litter change.","Revisado en los Estados Unidos el 24 de mayo de 2024","Great for retraining cats","5.0 de 5 estrellas","","0",
"R2J6EBGF4RLBSX","ss","I have an older kitty who started pooping outside the box the last few years. I tried everything (multiple boxes, super clean box, stool softeners, different litter, etc.) & nothing worked until I got this. Mix it in the litter & it was magic. Her 'outside the box pooping' went from ~95% of the time to ~5% max. Love it.","Revisado en los Estados Unidos el 14 de abril de 2024","Magic!","5.0 de 5 estrellas","","0",
"R1DSDSK2SJ5XLZ","Montana","I couldn’t believe this worked right after I added it to the litter box for a rescued outdoor cat who initially had absolutely no interest.","Revisado en los Estados Unidos el 27 de febrero de 2024","Worked almost immediately","5.0 de 5 estrellas","","0",
"R192MZER13CJPD","E Carroll","When I forget to put it in the box she urinates on clothes","Revisado en los Estados Unidos el 19 de febrero de 2024","Helps cats use box","5.0 de 5 estrellas","","0",
"R2SO9X5HTFDMUM","Dawn L W","99% dust free may be a little over the top. I would say it's pretty dusty during the pour and smells dusty in the box.","Revisado en los Estados Unidos el 15 de febrero de 2024","Dusty","2.0 de 5 estrellas","","0",
"R265AZNM5KBPGZ","Shari Kvashny","It is probably better at helping to mask odors than attracting cats.","Revisado en los Estados Unidos el 30 de enero de 2024","Not a sure fix","3.0 de 5 estrellas","","0",
"R27JYKZNA76NQO","LSW","My older cat stopped going to the litter box.  I keep the litter box clean and scoop it out about 3 times a day.  I use a litter that is dust free (not crystals because crystals can hurt their paws) He started having health issues and I found this cat attractant.  It really works. I followed the instructions and sprinkled a little on top of his litter.  Once he smelled it, he went to the litter box. I would highly recommend it.","Revisado en los Estados Unidos el 14 de enero de 2024","Really works","5.0 de 5 estrellas","","0",
"R2L9E7K7E07YQK","A BookReader","I have two cats, and one of them started to poop outside the litter box when she was about 2 years old.  Up until then, she had been good about using the litter box and since she didn't have a health problem, I figured it was her objecting to the odor or that she was upset about something.  I tried many things but this is the only thing that worked.  It has a very grassy & catnippy smell that she must like because she is now using the litter box again.  I don't follow the instructions on the bag though - instead I just sprinkle it all over the top of the litter after I scoop it out so she can always smell it.  Each bag lasts at least a month that way.  This is a great product - I wish I had known about it earlier.","Revisado en los Estados Unidos el 25 de diciembre de 2023","This really does work - even for older cats","5.0 de 5 estrellas","","0",
"RMOKAKNJ4WNLI","El","My cat was a feral & he didn't want to use the litter box....but this attractant did its work immediately & ""attracted"" my cat to the box rather than him wanting to go outside (which he was used to doing as a wild cat.)  But, truly, after he's lived inside for 2 years, he still prefers to go outside & I let him.....but if we are not at home & he needs to use the litter box, he does so.  I recommend this product more than a 100%!!!","Revisado en los Estados Unidos el 16 de diciembre de 2023","My cat was a feral & he didn't want to use the litter box....","5.0 de 5 estrellas","","0",
"R1C0KRKNUFOPDM","Amy A.","I love this litter, but ordered the wrong item.This is anttactant! I was unable  to return.","Revisado en los Estados Unidos el 13 de diciembre de 2023","Beware. This is attractant.","2.0 de 5 estrellas","","0",
"RK57VHIEC4JBL","Annette Magee","We have a new kitten that wouldn’t use the litter box.  I was really skeptical, but out of desperation order the product. It worked immediately.","Revisado en los Estados Unidos el 27 de noviembre de 2023","It works","5.0 de 5 estrellas","","0",
"R2SO3VMFJJSVC2","Brittany","This did not attract my cats to their litter box any more than they were. One was having issues going outside the box and it didn’t make him change his patterns.","Revisado en los Estados Unidos el 31 de agosto de 2023","Did not attract","2.0 de 5 estrellas","","0",
"R3M77P7OOVJDW1","/.","My 17 years old cat has begun to eliminate inappropriately (both kinds) next to her box instead of in it. We ruled out all medical reasons. A heaping 1/4 cup in sprinkled on top of her litter daily has caused her to occasionally use her box. I was very careful to ensure none of the product escaped the confines of my cat's box when I applied it. However, just as often as she will use the box, my cat will eliminate on the pads I placed around her box. So, the question is: does this mixture of herbs cause your cat to want to use their box as opposed to the adjacent floor? Probably not. Certainly not for this amount of money. I can't recommend this product for people in my situation. Two stars for a possibility of increased litter box use; I'm the optimistic sort. I'm still cleaning up pads every day, however could it be less often than before? Maybe. So, two stars for optimism. However, I don't recommend this product for people in similar situations (elderly cat, no medical problems)","Revisado en los Estados Unidos el 29 de agosto de 2023","Does it work? Not exactly and probably not. in my case","2.0 de 5 estrellas","","0",
"R1LIBA92YII8H","Noelia cartagena Rosario","Excelente","Revisado en los Estados Unidos el 12 de agosto de 2023","Excelente","5.0 de 5 estrellas","","0",
"R11A3X07UJC285","Dyscyple","This works. The cat started going in the box again on the first use. A bit more expensive than necessary in my opinion…","Revisado en los Estados Unidos el 4 de julio de 2023","Works","4.0 de 5 estrellas","","0",
"R3867006FM56UX","Sue b","Helps my cat use the litter box.. not the floor or furniture","Revisado en los Estados Unidos el 19 de mayo de 2023","Good product","5.0 de 5 estrellas","","0",
