"id","profileName","text","date","title","rating","images","helpful","variant:","variant:nombre del estilo","variant:tamaño"
"RH742HYCI8GMG","Cynthia Gálvez","Me confié por las buenas reseñas, no sé si sólo fue específicamente el lote que yo compré, pero esta arena huele muy muy mal y no aglutina bien, por lo que se ensucia muy rápido.","Revisado en México el 13 de septiembre de 2024","No sirve","1.0 de 5 estrellas","","0",,,
"R26INIMSVQ7E9J","Roxan","La arena aglutina bien pero se pega en la pala o en el arenero, además suelta mucho polvo que hace estornudar a mis mininos cuando tapan.","Revisado en México el 8 de marzo de 2022","No es lo que esperaba","4.0 de 5 estrellas","","0",,"Limpiar pistas","39.99 Pound (Pack of 1)"
"R3IHBWUW6K35IJ","RMN","Está arena si aglutina de verdad , tanto q ni la semana me duró jajajajaja 😂😂😂😂😂😂
Pero si aglutina y no tiene polvo como otras arenas. Lo único q no me gustó es q se les pega a los gatos entre las patas la arena y me dejan el reguero de arena cosa q con otras no me ha pasado antes. Pero si aglutina y saca fuerzas porque todo se va para abajo y queda piedra 👌","Revisado en México el 6 de marzo de 2022","Está si aglutina de verdad!!","5.0 de 5 estrellas","","0",,"Limpiar pistas","39.99 Pound (Pack of 1)"
"RHNJ7YIT9KBUH","Donaji Duran","Tenia mis dudas sobre la absorcion del olor y me sorprendió lo bien que funciona","Revisado en México el 12 de febrero de 2022","Excelente","5.0 de 5 estrellas","","0",,"Limpiar pistas","39.99 Pound (Pack of 1)"
"RM3QEM42J8FLF","Tish Ojeda","Absorbe muy bien olores, no dejan rastro las huellas porque no tiene polvo, super sencillo de limpiar.","Revisado en México el 2 de enero de 2022","Excelente producto","5.0 de 5 estrellas","","0",,"Limpiar pistas","39.99 Pound (Pack of 1)"
"R3CDWVQ0TJRT9E","DeSofi","Realmente enmascara los olores, absorbe muy bien, pero se llega a pegar en el arenero y llegar a ser un tanto complicado despegar. A mis dos gatas les gustó. No viene polvo.","Revisado en México el 17 de noviembre de 2021","Muy bueno, pero","4.0 de 5 estrellas","","0",,"Limpiar pistas","39.99 Pound (Pack of 1)"
"R2A6LC2LTYH3Q","Mexico Cooks!","La arena Dr. Elsey's es la mejor que he comprado, y he comprado de varias. Super-excelente en el arenero, super-fácil de limpiar, y no se tira por todos lados! Gracias!","Revisado en México el 22 de septiembre de 2021","EXCELENTE producto a costo excelente!","5.0 de 5 estrellas","","0",,"Limpiar pistas","39.99 Pound (Pack of 1)"
"R1VC8KMVC3MTRQ",".","No tiene olor y es fácil limpiar porque aglutina bien.","Revisado en México el 6 de mayo de 2021","Es fácil limpiar","5.0 de 5 estrellas","","0",,"Limpiar pistas","39.99 Pound (Pack of 1)"
"R1YCYV9LTB46ES","María","que hemos conseguido en México.
Son caras, pero se conservan bien si se higienizan asiduamente. Es una buena inversión.","Revisado en México el 23 de abril de 2021","Las mejores piedras para gatos","5.0 de 5 estrellas","","0",,"Limpiar pistas","39.99 Pound (Pack of 1)"
"R2A15MGXQVVQYW","Pearl_78","Muy buen precio. Aunque son unas piedras muy finitas, esperaba piedras no tan pequeñas, pero les gustó a mis gatos.
Aglutina bien, y funciona bien contra los olores.","Revisado en México el 14 de abril de 2021","Buen precio","4.0 de 5 estrellas","https://images-na.ssl-images-amazon.com/images/I/A1z+bWhXDBL.jpg
https://images-na.ssl-images-amazon.com/images/I/D1mAipNu4MS.jpg","0",,"Limpiar pistas","39.99 Pound (Pack of 1)"
"R11H5UUZJLPKRS","Gael Ramos","Excelente producto, cero olores, encapsulado y rendidor","Revisado en México el 9 de marzo de 2021","Lo seguiré comprando !","5.0 de 5 estrellas","","0",,"Limpiar pistas","39.99 Pound (Pack of 1)"
"R3R5LVUWHF1S7J","Jean Kennedy","Very good litter","Revisado en los Estados Unidos el 30 de enero de 2026","Litter","5.0 de 5 estrellas","","0",,"Limpiar pistas","39.99 Pound (Pack of 1)"
"R2GU9IK1HDMGF9","ShanD","finally NO smell! This is hands down the best I've tried. Creates a lot of waste because the urine ends up in a big clump at the bottom but I don't care. This is literally lthe best one I've found to deal with my very stinky tiny cat. How a 7 pound animal can create so much waste is mind blowing to me but this litter does the trick!","Revisado en los Estados Unidos el 30 de enero de 2026","Finally NO smell!","5.0 de 5 estrellas","","0",,"Limpiar pistas","39.99 Pound (Pack of 1)"
"R2AC4CVU8B9Z6M","Kimeay","Over been buying this for the value...however...there has been cat litter all over everything in my home...not even close to low tracking....be prepared to have cat litter all over your furniture bed and floors","Revisado en los Estados Unidos el 16 de enero de 2026","Tracks Everywhere","2.0 de 5 estrellas","","0",,"Limpiar pistas","39.99 Pound (Pack of 1)"
"R36BRG1C7UUK6P","AICHEL","La verdad no le gustó para nada esta arena, sinceramente se hace mucho pegoste y es horrible a la hora de limpiar el arenero. Además a mis gatos les dio un cierto tipo de alergias. En mi caso no la volvería a comprar","Revisado en los Estados Unidos el 13 de enero de 2026","No me gusta porque se hace mucho pegoste en el arenero","5.0 de 5 estrellas","https://m.media-amazon.com/images/I/71PiNvyjokL.jpg","0",,"Limpiar pistas","39.99 Pound (Pack of 1)"
"R2DX8W1S127AHV","Missy","Cats didn't like","Revisado en los Estados Unidos el 12 de enero de 2026","Cat litter","3.0 de 5 estrellas","","0",,"Limpiar pistas","39.99 Pound (Pack of 1)"
"REJLDNJ5EGMHW","Heidi","Always clumps everything and stays fresh longer","Revisado en los Estados Unidos el 10 de enero de 2026","Super clumper","5.0 de 5 estrellas","","0",,"Limpiar pistas","39.99 Pound (Pack of 1)"
"R3BWYQSJMX3LUN","Terry Blakemore","Fabulous","Revisado en los Estados Unidos el 9 de enero de 2026","Fabulous","5.0 de 5 estrellas","","0",,"Limpiar pistas","39.99 Pound (Pack of 1)"
