"id","profileName","text","date","title","rating","images","helpful","variant:"
"R2839CCZJZPF8U","Kelly","Esperaba más de la marca, se apesta muy rápido aun si la limpio 2 veces al día y se humedece muy rápido, no aglutina muy bien","Revisado en México el 1 de octubre de 2025","Malo","2.0 de 5 estrellas","","0",
"RYXRMGIDHAAJW","Cristian M","Muy bueno, realmente no levanta polvo","Revisado en México el 28 de septiembre de 2025","Cumple su función de control de polvo","5.0 de 5 estrellas","","0",
"R2YYPMGQIA361M","Larisa Meza","Es mi primera vez teniendo un gato, entonces no tengo punto de comparación con otras arenas, pero está definitivamente me convenció, no acumula olores, tiene una ligera fragancia que desaparece un par de días después, pero no hay mal olor. A la gatita que venía de la calle no le tomo más de 2 días acostumbrarse a usarla, es fácil de limpiar, aunque si llegan a formarse pequeños grumos, adicional a la pala utilizo un colador de arena. Rinde bastante la verdad.","Revisado en México el 30 de agosto de 2025","Buen rendimiento, no acumula olores","5.0 de 5 estrellas","","0",
"R16M1XCLV27PE7","Ingrid","Excelente","Revisado en México el 16 de agosto de 2025","Excelente","5.0 de 5 estrellas","","0",
"R2G31G8N5KAKBQ","MaryCarmen Villalba Maldonado","No lo compren :( no rinde NADA y apesta todo espacio donde esté","Revisado en México el 17 de junio de 2025","Pésimo","1.0 de 5 estrellas","","0",
"R2CP8EDR8RSSBZ","Nicktacular06","Buen precio por la marca.","Revisado en México el 14 de junio de 2025","Buen precio por la marca.","5.0 de 5 estrellas","","0",
"R2AW8ACVDEFHZC","toñito","De lo mejor. Controla olores . Duradera.","Revisado en México el 28 de abril de 2025","Es excelente.","5.0 de 5 estrellas","","0",
"R351W01YAX58SI","Briel Guzo","Si controla olores y no saca polvo muy buena","Revisado en México el 1 de marzo de 2025","La mejor hasta ahora","5.0 de 5 estrellas","","0",
"R2XRJ049S3UXH5","Sandra","Cero polvo, absorbe súper bien los olores.","Revisado en México el 14 de enero de 2025","Muy buena compra","5.0 de 5 estrellas","","0",
"R2OCG02YCX58DZ","Castell","Me gusta mucho usar la arena de esta marca ya que no son polvosas, decidí comprar esta porque la clump & seal no estaba disponible, es buena arena también y no tiene ese olor a bicarbonato fuerte como la anterior.
Le doy 4 estrellas porque llego roto y con la arena regada :(
Pero es una excelente arena si tu gato sufre de asma o es alérgico al polvo.","Revisado en México el 23 de septiembre de 2024","Empaque roto 💔","4.0 de 5 estrellas","https://m.media-amazon.com/images/I/61RAQnsLK7L.jpg","0",
"R3GMFRBUPKKIVI","JORGE PC","Excelente producto sin polvo con aroma agradable por más de 10 días muy recomendable nada complicado retirar la arena aglutinada muy muy recomendable","Revisado en México el 16 de septiembre de 2023","Excelente producto sin polvo con aroma agradable porMás de 10 días muy recomendable","5.0 de 5 estrellas","","0",
"R2GDP9SV03L4EX","Corinne","Make sure you don't do what I did. Purchased it thinking for the price it was 12.7 kg size. Cause for that price you can get original cloud control 12.7 jg not 8, makes a diffrence when you have large litter box. Went to return it and even though I have prime and it says free returns, they charge you double the price for shipping $44.00!!! First time I have seen that...not happy!!","Revisado en Canadá el 30 de enero de 2026","Too expensive for what you get","1.0 de 5 estrellas","","0",
"R1U3Y7LC3PXD1P","Doug G","Use for 3 loving cats. Use two litter bins and last almost 3-weeks! Smells good and clumps very well. Doesn’t break into smaller pieces. Have no complaints about the dust, I can say there is very little, if any dust. I would recommend this product.","Revisado en los Estados Unidos el 29 de enero de 2026","Very good litter and I’ve tried many!","5.0 de 5 estrellas","","0",
"R35Z3EPYKCS619","amber","I would get this more stars if I could. Truly dust free! I had been using Fresh Step for years but I think they may have changed the formula or something as I started noticing surfaces in my apartment getting super dusty super fast... to my horror I discovered it was the cat litter. I switched to this litter and I noticed way less dust buildup over a period of days on the surfaces in my apartment. This brand and also Arm and Hammer Slide are my absolute go to's.","Revisado en los Estados Unidos el 27 de enero de 2026","DUST FREE","5.0 de 5 estrellas","","0",
"RY63KZ7N3Y71P","KayCookie","I cannot believe I found huge and small pieces of glass in the litter! Very disappointed.","Revisado en los Estados Unidos el 27 de enero de 2026","Warning, unexpected disappointment","1.0 de 5 estrellas","https://m.media-amazon.com/images/I/71fk-ifYpDL.jpg","0",
