"id","profileName","text","date","title","rating","images","helpful","variant:"
"R14C40ZO6ESAWC","Terrence M & Elizabeth A Gabor","Tracking of this cat litter is a litte less than some other brands but there is still some tracking from where the cats go in and out of box. It is simple to sweep up though and the scent is refreshing every time you add some to the box.","Revisado en los Estados Unidos el 1 de febrero de 2026","Good scent","5.0 de 5 estrellas","","0",
"R1Q7NB4K95CT7Z","Shells","Great use","Revisado en los Estados Unidos el 26 de enero de 2026","Good litter","5.0 de 5 estrellas","","0",
"R3FAAL1SLSW88H","Holly copanic","Great price around","Revisado en los Estados Unidos el 3 de enero de 2026","Price is right","5.0 de 5 estrellas","","0",
"R3IOHCPWG9AK39","Somendria","Honestly hated it but thats because it doesnt clump well and is real heavy so i switched back to my normal litter","Revisado en los Estados Unidos el 9 de diciembre de 2025","Eh ita alright for clay litter","3.0 de 5 estrellas","","0",
"R1NAEI6F9ZYQX","Amanda Bolton","Smallest bag ever and over priced!","Revisado en los Estados Unidos el 9 de diciembre de 2025","So small","1.0 de 5 estrellas","","0",
"R1UNNB7OC0ZD4I","Amazon Customer","The litter quality is very good. You must scoop often to keep messiness down. Has a nice pleasant smell. The dust does track so you may have to put a rug or placemat under litter box. Litter clots very well. Not hard to clean. Would highly recommend for purchase.","Revisado en los Estados Unidos el 7 de diciembre de 2025","Long lasting cat liter","5.0 de 5 estrellas","","0",
"R1VU6CK45S3YTE","Scott marnie","Good cat litter, great scent. Only problem, for some reason every time I order it it gets delivered 2 days later than they say it will be. What too heavy ? Now my cat is pissing on plastic at the bottom of her litter box. Good clumping litter but unreliable shipping. 😼","Revisado en los Estados Unidos el 6 de diciembre de 2025","I spend thousands of dollars a year with Amazon, and I get treated like crap","4.0 de 5 estrellas","https://m.media-amazon.com/images/I/71XQlEHFnPL.jpg
https://m.media-amazon.com/images/I/81XMo6l-UfL.jpg","0",
"R2SU85W4MW87XR","Andy McKinney","Like many cat servants, I constantly try to get the best results in this area.  I find this product to be effective at keeping the smells down.  I have four inside cats and recommend Purina Tidy Cats Clumping Multi Cat Litter, Glade Clear Springs.  It also comes in a number of variations.","Revisado en los Estados Unidos el 29 de noviembre de 2025","It works for my four cats","5.0 de 5 estrellas","","0",
"R3HRRMG019ZQKA","Katelyn Sebring","Good litter. Looking for brand recommendations","Revisado en los Estados Unidos el 28 de noviembre de 2025","It’s alright. will probably change","4.0 de 5 estrellas","","0",
"R1JDOFDX6UUUSS","Gisela de los reyes","Purina Tidy Cats is a cat litter that effectively controls odors and forms firm lumps, facilitating cleaning and maintaining the hygienic area.","Revisado en los Estados Unidos el 23 de noviembre de 2025","""Hygiene and odor control for your cat","5.0 de 5 estrellas","","0",
"R3TRGFRZFEOAB9","Leslie Wilkins78","This litter causes a huge mess. I tried this because of the low dust as advertised. I don’t think I noticed a difference in the dust but this litter does not clump well at all when they pee. It kept getting stuck to my cat’s paws and after leaving the litter box he would leave behind white paw prints all over the place. The dried paw prints are also difficult to clean as they stick to the floor. I spent a couple of hours scrubbing carpets and mopping my floors yesterday. I’d much rather have dust than this.","Revisado en los Estados Unidos el 17 de noviembre de 2025","Sticks to paws and cats tracked all through the house","1.0 de 5 estrellas","https://m.media-amazon.com/images/I/81se3m9qOSL.jpg","0",
"RBJV17W8WTQ9M","Cindy Paul","Time two weeks ago was the first time I purchased this litter.It’s a little bit more expensive than what I usually buy, but it has been totally worth it.I typically change boxes on Thursday or Friday.There is no more ammonia smell in my house even when it is towards the end of the week.I have two boxes and of course they clean them each day but  I really think I found something that is worth the price. I recommend it.","Revisado en los Estados Unidos el 14 de noviembre de 2025","Really helps with the box smell","5.0 de 5 estrellas","","0",
"R2QOT26IF17T8K","Placeholder","Love the price and the product ..But I sometimes have trouble with delivery..It being so heavy and all ...I send to an elderly friend and it's not delivered  as requested.. but it is a great product  at a great price.....","Revisado en los Estados Unidos el 8 de noviembre de 2025","Great price .. tidy cat","4.0 de 5 estrellas","","0",
"R2I95WNRZIWSP7","Christina pellot","Definitely not my favorite cat litter, but it's gotten me through a couple of years until I found the right one. It's super dusty. If you have multiple cats, make sure you're cleaning this litter frequently the clumping on this litter is so bad. Once your cat pees a couple times the litter won't clump as good and the pee will spread throughout the whole litter. Making you need to throw the whole litter away.","Revisado en los Estados Unidos el 25 de octubre de 2025","Not my favorite","3.0 de 5 estrellas","","0",
"R2V8ID9ILMCCSZ","Norma Martinez","Arena para gatos bueno pues aquí les dejaré mi opinión hace lo que dice envuelve bien la popó de mis gatos y luego aparte trae olor muy bonito huele a fresco y ellos pues están contentos la verdad pues siempre compro de esta pero en bote grande ahora compré en esta bolsa pero es lo mismo sigue siendo la misma y no he cambiado de marca hasta ahorita pero no sé en el futuro verdad no no lo sé pero mientras me quedo con esta porque me gusta mucho le doy cinco estrellas","Revisado en los Estados Unidos el 23 de octubre de 2025","Purina tidy cats","5.0 de 5 estrellas","","0",
"R212O4C47STP95","Rebecca Britt","Great","Revisado en los Estados Unidos el 18 de octubre de 2025","Great","5.0 de 5 estrellas","","0",
"R2E6CMWHT3V5RG","Lynn","Tidy Cats Cat Litter Review 🐾I’ve been using Tidy Cats for a while now, and it’s become a staple in my household. With multiple cats, finding a litter that controls odor and clumps well is essential—and Tidy Cats delivers on both fronts.👍 Pros:• Excellent Odor Control: Even with two cats, the litter keeps smells at bay for days. The ammonia blocker really works.• Strong Clumping: Makes scooping easy and keeps the box cleaner longer.• Low Dust: Compared to other brands, it’s noticeably less dusty, which is great for my cats and my lungs.• Affordable & Widely Available: Easy to find in stores and reasonably priced for the quality.👎 Cons:• Heavy Container: The larger tubs can be a bit bulky to handle.• Tracking: Some granules still end up outside the box, though not as bad as others I’ve tried.Overall Verdict:Tidy Cats is a reliable, effective litter that balances performance and price. It’s not perfect, but for multi-cat households, it’s one of the best out there.","Revisado en los Estados Unidos el 6 de octubre de 2025","Tidy Cat litter","5.0 de 5 estrellas","","0",
"R32WBQSQ6KPZQP","Kristine","Great litter","Revisado en los Estados Unidos el 22 de septiembre de 2025","Great litter","5.0 de 5 estrellas","","0",
"R1DEV8KYMCNZ6R","Bryan C","My cat really likes this litter and I enjoy the nice fragrance.  I just wish there was more of it for the price.  Fill ky litter box only once.","Revisado en los Estados Unidos el 21 de septiembre de 2025","Much smaller.package than I imagined","3.0 de 5 estrellas","","0",
"R3PKOIKQTHEC0F","BW","My kitty won’t use anything else","Revisado en los Estados Unidos el 20 de septiembre de 2025","Kitty loves","5.0 de 5 estrellas","","0",
"R2DCY5AD72LHAS","Brooke Henley","This is the only brand of cat litter I will purchase.  It lasts a long time and the quality of the litter is better than any I have used. It lasted about 2 weeks but I change the cat box weekly and after I scoop i usually throw a little fresh litter on top. It provides thight clumps which makes it so easy to keep clean.","Revisado en los Estados Unidos el 19 de septiembre de 2025","Best litter","5.0 de 5 estrellas","","0",
"RMZ5PSVWGFQFB","Raquel","Great!!","Revisado en los Estados Unidos el 18 de septiembre de 2025","Cat","5.0 de 5 estrellas","","0",
"R2QGQ5P1P0ITJ8","Ang G.","Smells good and works good","Revisado en los Estados Unidos el 17 de septiembre de 2025","Does the job","5.0 de 5 estrellas","","0",
"RAN9E3LH45NHI","Beardsley Bears","Best litter..for 2 cats..clumps..barely any odor Forget pretty litter!! Lol","Revisado en los Estados Unidos el 17 de septiembre de 2025","Great litter..Maine coons!!","5.0 de 5 estrellas","","0",
"R2GSXJKBFBSU7Z","Book Lover","Ive always used Tidy Cats for my cats, and I think its probably the best, and lower priced.  My only issue was I got the wrong one odor, and I found it bothered me.  I have changed to another, and no problems.  My cat isnt fussy which I happy for, but Im sure all cats would used this brand.","Revisado en los Estados Unidos el 16 de septiembre de 2025","Its a good brand, and priced well.","5.0 de 5 estrellas","","0",
"RSO9S579XODF1","Sarah","Extremely light filled bag. I had to purchase two to fill up a poop box.","Revisado en los Estados Unidos el 28 de agosto de 2025","Poop dirt approved","3.0 de 5 estrellas","","0",
"R2S7O44T91ZAN4","Beth cox","Really helps with the smell !!!","Revisado en los Estados Unidos el 25 de agosto de 2025","Great helps with smelll","5.0 de 5 estrellas","","0",
"RV1E7GHUKRA4P","david hecker","Small bag","Revisado en los Estados Unidos el 14 de agosto de 2025","Good","5.0 de 5 estrellas","","0",
"R1IIKD3EBI01R5","Hannah","I personally love this litter because it lasts awhile, it’s good quality, smells good, and is easy to clean. This bag wasn’t a bad weight, but gave it 4 stars do the packaging.","Revisado en los Estados Unidos el 2 de agosto de 2025","Keeps it fresh","4.0 de 5 estrellas","","0",
"R2WCNLR1PL5IWE","Amazon Customer","I use this litter with my automatic litter box and it works great.  Nice smell. It clumps well and the price is just right.","Revisado en los Estados Unidos el 31 de julio de 2025","Good cat litter","5.0 de 5 estrellas","","0",
"R3AFS33OQ6W2L5","Amazon Customer","smells good and who wants to go pick up litter from the store","Revisado en los Estados Unidos el 22 de julio de 2025","Why go to the store when you have it delivered!","5.0 de 5 estrellas","","0",
"R1IYDYS81KYTN2","gata30","Doesn't clump fast enough and stinky too fast.","Revisado en los Estados Unidos el 22 de julio de 2025","Doesn't Work Well In Litter Robot.","3.0 de 5 estrellas","","0",
"R3KNP78KA8DEPX","caitlyn","The best litter ever. After trying many different kinds, this is definitely the best one. I love that it comes in a bag so easy to dispose instead of a bulky box. Reduced the smell a lot and easy to clean.","Revisado en los Estados Unidos el 21 de julio de 2025","Best litter ever","5.0 de 5 estrellas","","0",
"R332GQ7A4DEEGT","suzanne","Great litter for the price.","Revisado en los Estados Unidos el 21 de julio de 2025","My cats like it","5.0 de 5 estrellas","","0",
"R1UP5S94YL58Q9","Sonja Triggs","I like this litter. Very absorbent. Does not seem to cling to my cat’s paws. Minimal tracking. It is rather dusty.  That is reason for 4 stars instead of 5","Revisado en los Estados Unidos el 20 de julio de 2025","Light weight","4.0 de 5 estrellas","","0",
"R2MIA1OT4KXSTL","Caitlin","Really great at deodorizing but tracks everywhere and dusts. Unfortunately most litters do this when they’re a smaller grain.","Revisado en los Estados Unidos el 19 de julio de 2025","Great at deodorizing","4.0 de 5 estrellas","","0",
"R23LA9W7F7YWJW","FatherB","This is the worst litter. It does the job for clumping and retaining odors, but it is very sticky to the paws and the cats make a mess on the floor when leaving the Litter Robot.","Revisado en los Estados Unidos el 19 de julio de 2025","Sticks to the paws and makes a mess on the floor","1.0 de 5 estrellas","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif","0",
"RG7DHQJQVSB18","Cynthia Mueller","A great buy, especially when you have multiple cats! Price is right too","Revisado en los Estados Unidos el 17 de julio de 2025","Good Deal!!","5.0 de 5 estrellas","","0",
"R1JZ8GSRSHM5TV","Had not receive my refund yet","Good product thanks","Revisado en los Estados Unidos el 17 de julio de 2025","Cat litter","5.0 de 5 estrellas","","0",
"R2W19F5RWXOIN3","BeRye","It works as litter but honestly doesn’t trap the smell. It might have that immediate “this smells nice” but it quickly fades away. Buy a different scent or one of the better products.","Revisado en los Estados Unidos el 16 de julio de 2025","Just ok, works as a cheap litter but nothing more","3.0 de 5 estrellas","","0",
"R1G8EF1LBLGL3S","kayla williams","Love this litter! not too pricey and works pretty well! as long as you clean about once a week, it lasts pretty long and can prevent smells!","Revisado en los Estados Unidos el 15 de julio de 2025","Works great for my kitty!","5.0 de 5 estrellas","","0",
"RAZYQ6QG1ZYMY","Sarah","Smell and clump approved","Revisado en los Estados Unidos el 13 de julio de 2025","Love","5.0 de 5 estrellas","","0",
"R1VFGXIXD0A48G","Anonymous","Ease of scooping:No easy scooping here, dad says it gets hard as a brick","Revisado en los Estados Unidos el 10 de julio de 2025","No easy scooping","1.0 de 5 estrellas","","0",
