"id","profileName","text","date","title","rating","images","helpful","variant:"
"R1D1ZODD4POF6D","Eli","Muy efectivo, sin tanto aroma y pero aun asi no deja olores","Revisado en México el 2 de febrero de 2026","Recomendable","5.0 de 5 estrellas","","0",
"R2SFG2H4I8HOZ4","Barbara Giaquinto","Item not received. I like the product, so do the cats. No notification given as to the delay. I was simply left questioning. Not good business protocol. AI eventually answered my question","Revisado en los Estados Unidos el 30 de enero de 2026","Still have not received items due Sunday. Today is Friday. Tracking updates seem frozen.","1.0 de 5 estrellas","","0",
"R39AAGW0OG82K2","Diane Hornberger","I like it, but the bag should have a handle for older people to easily carry it. I know you don’t bag it, but mate you could pass that on to the manufacturer.","Revisado en los Estados Unidos el 28 de enero de 2026","Above","5.0 de 5 estrellas","","0",
"R3T0GHS8GWPWVB","SZWriter","It's nice to get this in a smaller container.  I'm disabled & can't lift the jugs or tubs. Been using this litter for many years.","Revisado en los Estados Unidos el 23 de enero de 2026","Great litter, smaller,  easy-to- lift bag","5.0 de 5 estrellas","","0",
"R1126NWXXPEUBB","Andy McKinney","I have four cats, and it has been a challenge finding something that works for us.  This seems to fit the bill.  I like this in the unscented version.  Good clumping, odor kept well under control.  And my cats are vigorous!","Revisado en los Estados Unidos el 23 de enero de 2026","Finally, the litter that works best for my","5.0 de 5 estrellas","","0",
"R154WKTR10DLYS","Thomas Somerville","This litter causes a tremendous amount of dust and sticks to their feet. We have never experienced so much dust with any other cat litter product and it tracks throughout the house.","Revisado en los Estados Unidos el 20 de enero de 2026","DUST and TRACKING","2.0 de 5 estrellas","","0",
"R3NGX8TUC7ADXO","kristen","I really don’t like this bag of cat litter because of the packaging. It’s messy.","Revisado en los Estados Unidos el 18 de enero de 2026","I’m going back to plastic container. Packaging is difficult.","3.0 de 5 estrellas","","0",
"R3GG76HDJVVKUH","Mr. Stumeister","IT DOES THE JOB","Revisado en los Estados Unidos el 17 de enero de 2026","IT WORKS QUITE WELL","5.0 de 5 estrellas","","0",
"R346L6RDV9AYXU","Gina","Lack of dust seems to reduce almost completely my 21 year old cats sneezes.  Do not make this item any larger as it is about the maximum weight that I can carry.  Item not available at local pet store.","Revisado en los Estados Unidos el 16 de enero de 2026","Healthy Choice for feline.","5.0 de 5 estrellas","","0",
"RSF6XJ2H5Z5PL","Lena","Lots of issues with this product. As some have previously mentioned, it is heavily scented despite the fact that it claims to be scent free. It is very dusty and gets everywhere. My cat started to develop horrible cough, sneezing, and watery eyes after using it just for few days. You could smell it everywhere in the air after the litter box was used. If I could, I would give this product zero stars. Ended up in trash as I would not want any other pet to be exposed to this product.","Revisado en los Estados Unidos el 16 de enero de 2026","Very dusty and horrible for cats","1.0 de 5 estrellas","","0",
