"id","profileName","text","date","title","rating","images","helpful","variant:tamaño","variant:tipo de paquete del cliente"
"R2CQK4OO0IKZBV","Paola Camacho","Es la arena que uso siempre, me encanta, no se le pega en el pelo (mi gata es de pelo largo), no genera ningún olor lo cual me encanta por qué no huele a lavanda ni detergente, pero, tampoco permite que huela feo.
Dura muchísimo y aglutina perfecto.","Revisado en México el 28 de diciembre de 2025","Maravillosa.","5.0 de 5 estrellas","","0","40 lb","empaque estándar"
"R333N7DZJR4S9A","Carmen Rosa","El producto es muy bueno , solo que el precio es un poco alto. Pero super recomendable","Revisado en México el 23 de diciembre de 2025","Buen producto, aglutina super bien y retiene el olor al 100%","5.0 de 5 estrellas","","0","40 lb","empaque estándar"
"R152PDDP8BTE6U","Giseleca","Aglutina bien y neutraliza los olores. Lo malo es que siempre sube mucho su precio.","Revisado en México el 19 de diciembre de 2025","Arena polvosa pero buena","4.0 de 5 estrellas","","0","18 lb","empaque estándar"
"RYJVZ8B8R34YE","Édgar Castelán","Esta marca es muy buena.
El producto llegó en tiempo de forma.
La conseguí en una oferta y valió mucho la pena.","Revisado en México el 27 de octubre de 2025","Bueno","5.0 de 5 estrellas","","0","40 lb","empaque estándar"
"R1RQ2NZU94DGA4","Jose Luis Hurtado Azpeitia","Arena mineral similar a la que puedes conseguir localmente; pense que era otro tipo de material...pero... en la CDMX puedes conseguir materiales similares a un precio abismalmente inferior. No lo vuelvo a comprar.","Revisado en México el 23 de octubre de 2025","Muy caro para lo que es...","2.0 de 5 estrellas","","0","40 lb","empaque estándar"
"R34ZE5FX1DBAFS","MQ","He comprado esta arena seis veces en un poco más de un año. Siempre compro la bolsa de 18kg porque la relación calidad-precio era bastante sensata. Buena calidad (aunque un poco inconsistente) y un precio accesible. Cuando la compré inicialmente, esta bolsa de 18kg me costó alrededor de 650 MXN, y lo más caro que he llegado a pagar ha sido alrededor de 850 MXN, pero en general 4 de 6 veces la he comprado por debajo de 700 pesos. Posiblemente la marca está siendo impactada por los aranceles de Trumpito, pero el precio se ha elevado 100%, llegando a 1,400-1,500 MXN. Esto se me hace una barbaridad y exceso. Actualmente está por encima de los 1,000, pero este precio aún se me hace caro cuando la calidad del producto no se me hace algo sobresaliente. La calidad es buena, pero es inconsistente, pues hay veces que la arena es más polvosa y hay veces que las partículas tienen un tamaño que no producen tanto polvo. Esto ha sido notable últimamente en lo particular.

En fin, tengo en consideración otras opciones más económicas, que me dan los mismos resultados en cuanto a la absorción de olores y al tracking. En cuanto no bajen el precio, no compraré esta marca.","Revisado en México el 4 de septiembre de 2025","Precio super inflado","2.0 de 5 estrellas","","0","40 lb","empaque estándar"
"R2RCAO1YZ6RUX","Chun ho Park","excelente arena , me funciona muy bien dura bastante sin acumular mal olor y el precio bastante bueno .","Revisado en México el 7 de julio de 2025","muy buena","5.0 de 5 estrellas","","0","40 lb","empaque estándar"
"R2Y3GN5QVFFZ3A","Omar","Pros: no tiene olor, aglutina bien, casi no expide polvo.
Contras: se hacen agregados en el fondo de la caja de arena, lo cual es difícil de remover. Está cara para lo que ofrece.","Revisado en México el 22 de abril de 2025","Deja agregados que se pegan al fondo de la caja de arena","3.0 de 5 estrellas","","0","40 lb","empaque estándar"
"R1Z0J3ETDR3846","Vale","La mejor arena de gato. Esta marca nunca me ha fallado y pedirla cada mes es más que suficiente para cubrir mis dos areneros.","Revisado en México el 12 de marzo de 2025","La mejor arena de gato que existe.","5.0 de 5 estrellas","","0","40 lb","empaque estándar"
"R3CG4WUNPU7A8N","Febe Ann","estoy muy molesta con la marca ya que me encantó la primera bolsa, sin polvo sin fragancia pero la segunda bolsa vino con mucho polvo cuando mi gato es muy alérgico & tiene temas para respirar. me fui de viaje todo un mes y hasta regresar me di cuenta. chequenla siempre","Revisado en México el 7 de febrero de 2025","MUCHO POLVO DEFECTUOSA","4.0 de 5 estrellas","","0","40 lb","empaque estándar"
"R3JO9ZWZR2D9NY","Eduardo Cañal Berger","Hay lugares donde se puede conseguir la presentación de 18kg más económica","Revisado en México el 2 de febrero de 2025","El producto es bueno. La presentación y el precio no.","3.0 de 5 estrellas","","0","18 lb","empaque estándar"
"R19OUB2VI4ZCEC","Angela G.","Buen producto, solo que se acaba muy rápido.","Revisado en México el 24 de diciembre de 2024","Buen producto .","5.0 de 5 estrellas","","0","40 lb","empaque estándar"
"R4JW3C7KBFLV5","ivan reyes","Lego perfecto, si perforaciones ni nada, absorbe muy bien los olores","Revisado en México el 30 de noviembre de 2024","Todo bien","5.0 de 5 estrellas","","0","40 lb","empaque estándar"
"R1N6JJ105YDWE9","Lila Landeros","Buen producto. Buena marca. Buen precio.","Revisado en México el 21 de noviembre de 2024","Buen producto","5.0 de 5 estrellas","","0","40 lb","empaque estándar"
"R3F5JO7ASILXQW","Romualdo Beltran Felix","Para es de las mejores arenas que he probado, es calidad precio. Me encanta que no se desperdicie mucha arena al momento que hace reacción con la orina del gato ya que absorbe bastante bien el liquido. ¡Recomendaba 100%!","Revisado en México el 8 de noviembre de 2024","¡Increíble arena para gato!","5.0 de 5 estrellas","","0","40 lb","empaque estándar"
"R1QCPRJAQCG3C6","Omarcillo","No suelo ser fan de las arenas de arcilla porque con 5 gatos no me rinden y parece que ando tirando escombro cuando lavo los areneros. Sin embargo, necesitaba llenar un arenero extra y no tenía oportunidad de ir a la tienda de mascotas a surtirme, así que opté por esta arena de arcilla ya que fue la única que encontré que no tiene fragancia, lo cual es muy importante para no afectar las vías respiratorias de nuestros michis (y las nuestras) y además estaba a buen precio. Me agradó bastante, suelta poco polvo, los orines los encapsula muy bien y los terrones son muy firmes, además de que no huele el arenero. A mis gatos también les agradó bastante, sin embargo no me duró más allá de los 10-12 días, ya que como mencioné tengo 5 gatos y las arenas de arcilla nada más no pueden con ellos (y eso que también estuvieron usando otros areneros con su arena de toda la vida). Recomiendo comprarla en oferta (por menos de $400).","Revisado en México el 18 de agosto de 2024","Excelente opción sin fragancia añadida","4.0 de 5 estrellas","","0","18 lb","empaque estándar"
"R1PDOPPE4YKMJ2","toñito","es regular no es lo mejor que hay como dicen. si genera polvo en minina cantidad pero si lo genera.","Revisado en México el 17 de agosto de 2024","regular.","4.0 de 5 estrellas","","0","40 lb","empaque estándar"
"R1NCN4SYI2BBP7","Judith McKnight","Prefería si llegaría en cuatro bolsas chicas. No lo puedo levantar.","Revisado en México el 10 de junio de 2024","Sin olor y fácil de sacar","4.0 de 5 estrellas","","0","40 lb","empaque estándar"
"RAIYL2TAUQLTF","J.","Hemos estado probando varias en búsqueda de la que mejor nos acomode. Está es bastante buena, no tiene aroma y aglutina muuuy bien, sin embargo a diferencia de otras marcas, se le queda bastante arena pegada en las patas y ensucia más en los alrededores, entonces para nosotros no será una opción continuar con la marca. Hasta ahora va ganando Scoop, que su único punto “débil” era que tiene un ligero aroma a lavanda, pero nuestro gato no es quisquilloso con los aromas. Falta probar la Hammer a ver qué tal.","Revisado en México el 8 de junio de 2024","Sí pero…","3.0 de 5 estrellas","","0","40 lb","empaque estándar"
"R1BX62VVKFXC0X","Mayra","Me encantó! Neutraliza muy bien los olores y aglomera muy bien.","Revisado en México el 18 de mayo de 2024","La aprueba","5.0 de 5 estrellas","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif","0","40 lb","empaque estándar"
"R2KW8MDZA9FWKY","Amazons customers","Cambié de marcas porque todas traen mucho polvo, que es malo para el gato y para quien asea el arenero.
Esta arena trae contenido ese problema por lo que no se levantan polvos y se ve bastante buena...","Revisado en México el 21 de marzo de 2024","No contiene polvos, lo que es un alivio para evitar lagrimeo de los gatos","5.0 de 5 estrellas","","0","18 lb","empaque estándar"
"R341CMPLLF2BP7","Carlos Silva","Aunque es excelente en términos de olores y aglutinamiento, ninguna arena vale 1,500 pesos. Si viven en México, Petco tiene la misma opción en paquetes más pequeños","Revisado en México el 7 de diciembre de 2022","Por 1,500 pesos es mejor comprar otra arena","5.0 de 5 estrellas","","0","40 lb","empaque estándar"
"R25RW3X1RND2IB","Tessie","Es muy buena opción, fácil de limpiar y no esparce polvo, sin embargo dobló el precio, tendré que buscar otra, lástima.","Revisado en México el 11 de octubre de 2022","La mejor, sin embargo…","3.0 de 5 estrellas","","0","40 lb","empaque estándar"
"R1Q3N6OF0R5YPW","Eloy","Compré esta arena y solo duró 5 días, en comparación con la cats best o worlds best dura muy poco y el precio es similar, lo único que me gustó es que no se riega tanto como las que mencioné pero su precio es muy elevado","Revisado en México el 15 de septiembre de 2022","hay mejores opciones","2.0 de 5 estrellas","","0","18 lb","empaque estándar"
"RV8HST6DVVBVK","Guillermo Fojaco","Podría decir sin problemas que es la mejor arena que existe: no aglutina, hace PIEDRAS que no se rompen fácil. Es fácil de limpiar y mantiene a raya los olores. Desafortunadamente tuve que dejar de comprarla porque en menos de un año el precio aumentó en más de 50% y la relación calidad-precio se vio tremendamente afectada. Ojalá algún día vuelva a costar 550 el paquete grande. Por supuesto la recomiendo si tienen la posibilidad.","Revisado en México el 9 de julio de 2022","La mejor arena del mercado","5.0 de 5 estrellas","","0","40 lb","empaque estándar"
"R26HTPCZ570Y1A","Mike","Buena","Revisado en México el 21 de mayo de 2022","Buena","5.0 de 5 estrellas","","0","40 lb","empaque estándar"
"R1GZ7JIF3ZMVH4","Jennifer","It does work well for the smell, but the litter itself Sticks to the bottom of the box and it’s hard to clean. And the price has went up, so the value is not there compared to other companies","Revisado en México el 29 de abril de 2022","It’s ok,","3.0 de 5 estrellas","","0","40 lb","empaque estándar"
"R3BC1O9SIDG5TV","Karla S.","Vale la pena pagar por esta arena, muy cómoda para limpiar, sin olor tanto de los desechos como de ella, aglutina bien y a mi gatito le dura poquito más de un mes.","Revisado en México el 28 de abril de 2022","Sin olores y aglutina bien!","5.0 de 5 estrellas","","0","18 lb","empaque estándar"
"R1IJ7EEXJHKM6W","Cliente de Amazon","La arena aglutina bastante bien por lo que es fácil de limpiar y esconde los olores sin necesidad de tener aroma. Casi no hace polvo ni se pega mucho en las almohadillas de los gatos.","Revisado en México el 18 de abril de 2022","Buena calidad","5.0 de 5 estrellas","","0","40 lb","empaque estándar"
"RWY2PPTHD8DA1","mirimaqu","Es bueno y no deja mucho polvo","Revisado en México el 6 de abril de 2022","Muy bien producti","5.0 de 5 estrellas","","0","40 lb","empaque estándar"
"R2LY3BWV3U8W4D","Sergio Becerril Perez","Fácil de limpiar","Revisado en México el 30 de marzo de 2022","Mejor que cats best","5.0 de 5 estrellas","","0","18 lb","empaque estándar"
"R2Q1VNJDWT7C8J","Mayte A.","No cumple lo que promete, huele horrible, no aglutina bien y la relación calidad precio deja mucho que desear. Jamás la volveré a comprar.","Revisado en México el 22 de marzo de 2022","Huele horrible!!!","1.0 de 5 estrellas","","0","18 lb","empaque estándar"
