"id","profileName","text","date","title","rating","images","helpful","variant:tamaño"
"R13MGOYZATRDBP","Schnabel","This product didn’t work as claimed. My cat still isn’t using any of the eight litter boxes. Waste of money!","Revisado en Canadá el 17 de enero de 2026","DID NOT WORK","1.0 de 5 estrellas","","0","1 Pack"
"R2PFOOD2PWYACR","Ninja Gaijin","Didn't work for my cat. But she had physical issues including IBD and anal gland impaction, so 'attractants' weren't going to help litter avoidance as she related the pain of bowel movements to the litter trays, or went next to the tray, to show me there was a problem. However maybe this product will work for you if you just have a cat that is not used to using litter trays and needs some more motivation to do so.However I'm lucky that all the feral cats I've socialised just 'know' what to do naturally..I recommend if you take in a feral cat, it's best to crate train them for a few days or a week so they are confined with the litter tray at first, until they get used to using it.","Revisado en Australia el 7 de enero de 2026","Didn't work for my cat, but it was a medical issue - maybe will work for yours","1.0 de 5 estrellas","","0","1 Pack"
"R2G3N5D9SH05LI","Marilyn C.","Really works - my cat used the new litter right away!","Revisado en Canadá el 29 de diciembre de 2025","It works!","5.0 de 5 estrellas","","0","1 Pack"
"RJDWQ6O3ELTV7","Simmie","Ended up not needing this and donating it to a rescue shelter where it was apprently helpful for some of the new former stray rescues.","Revisado en Australia el 25 de diciembre de 2025","Works","4.0 de 5 estrellas","","0","1 Pack"
"R20XT8B6ECLCIH","Tory","Didn’t make a difference at alll. Except my cat started to lick at its litter after putting this in there.","Revisado en Canadá el 8 de noviembre de 2025","doesn’t work","1.0 de 5 estrellas","","0","1 Pack"
"R2OHJUY5DM8HDE","J.Sam.","Due to the cost I wouldn't bother trying it!  I tried it as a friend in America recommend the CatAtrract litter as the same brand (less than half the price of the UK cost) so I decided to try this instead - it didn't work to attract our new kitten to wee in the tray, she kept peeing on the puppy pads no matter how much attract I put in with the litter.  Don't waste your money, try something else!  Turns out our kitty just needed the puppy pads removed, she was clearly being lazy and couldn't be bothered to walk to the tray for a wee (she always did with poos!)","Revisado en el Reino Unido el 27 de octubre de 2025","Don't waste your money as it's expensive for what it is and doesn't work","1.0 de 5 estrellas","","0","1 Pack"
"R344PA5UCWG2NL","TheresaM","Didn’t work at all on my cat","Revisado en el Reino Unido el 21 de octubre de 2025","Waste of money","1.0 de 5 estrellas","","0","1 Pack"
"R2N1WAGVYQZWEL","cheetah","The stuff smells good, but my cat who urinates outside the litter box, but right next to it on the floor, obviously doesn't care.  She still urinates on the floor next to the litter box. So it was a waste of money.  Any suggestions?","Revisado en los Estados Unidos el 30 de septiembre de 2025","My cat Willow doesn't care if it smells good","2.0 de 5 estrellas","","0","1 Pack"
"RS8H06DXW95N","Harvey Arlene","Love Dr elsey cat products.","Revisado en los Estados Unidos el 4 de septiembre de 2025","Great product","5.0 de 5 estrellas","","0","1 Pack"
"R1HKLYWMBWRCS9","dan","didn't work for my cats","Revisado en los Estados Unidos el 23 de junio de 2025","didn't work for my cats","1.0 de 5 estrellas","","0","1 Pack"
"R2BBL9AJ17E7ML","Mryzmom","This stuff works great for our cat.  It keeps him attracted to his box and minimizes outside of the box accidents!","Revisado en los Estados Unidos el 2 de mayo de 2025","It does what it claims!","5.0 de 5 estrellas","","0","1 Pack"
"R35I503C0GZZ37","Jenpop","Only 1 star as sadly failed to attract my cat to use her litter tray. Expensive too considering it does not work.","Revisado en el Reino Unido el 28 de abril de 2025","Expensive and does not work","1.0 de 5 estrellas","","0","1 Pack"
"R2MP87FP2B4D3V","BrianD","Honestly? It doesn't seem to do much. My cat still likes to pee next to the box. She doesn't seem to care when I use this stuff. Too bad. I guess I should give it zero stars but...I feel like maybe my cat is just weird.","Revisado en los Estados Unidos el 29 de marzo de 2025","Didn't really help","3.0 de 5 estrellas","https://m.media-amazon.com/images/I/51qhk-7wmmL.jpg","0","1 Pack"
"R1VUKYTW2UZNCI","Waffles","Worked a treat, except my one cat wanted to eat it haha.","Revisado en el Reino Unido el 8 de marzo de 2025","Great","4.0 de 5 estrellas","","0","1 Pack"
"R2OWE9DMM7HS03","Tenaya","I was really skeptical of this but it actually worked great! my cat had a uti and was refusing to use the litter box, we got it cleared up but it then caused the behavioral problem of still not using the box, this almost immediately fixed that problem. As soon as I started mixing this in, she started using it again. You don’t have to use very much of it so it definitely lasts a long time. It does have a little bit of an earthy smell to it but it’s not overwhelming at all. I didn’t notice any changes to the functionality of the litter. Would purchase again if needed and would recommend to anyone who’s having problems with a cat not using their box.","Revisado en los Estados Unidos el 27 de febrero de 2025","It works!","5.0 de 5 estrellas","","0","1 Pack"
"R62WZNFTKX3JR","Jenny","Super","Revisado en Alemania el 1 de febrero de 2025","Brennessel","5.0 de 5 estrellas","","0","1 Pack"
"RTYU25SAMD1JR","Ellis","My 4 cats would't use the litter box that had this in it. I'm guessing the smell in their case did not attract. I was trying in a new Litter Robot (I have 2) but they wouldn't use the one with this in it. I had to clean the whole unit totally and use different litter...then they used it. I was told that many cats love this..but mine sure didn't.","Revisado en los Estados Unidos el 6 de enero de 2025","Smells Very Strong","1.0 de 5 estrellas","","0","1 Pack"
"R1A447O7872IRN","Sue W","My cat isn't attracted to it at all - waste of money","Revisado en los Estados Unidos el 31 de diciembre de 2024","doesn't work","1.0 de 5 estrellas","","0","1 Pack"
"R1COUMWUI69VUL","Merrill","I purchased this for my neighbor. He brought a senior cats into his apartment that had lived his entire life outside. He didn't know how to use a litter box and was going on the bathroom floor. But after about a week and a half of using this the cat finally got the hang of the litter box.","Revisado en los Estados Unidos el 29 de diciembre de 2024","Worked great","5.0 de 5 estrellas","","0","1 Pack"
"R3HIAAJ9JT51G6","Lori","Our vet recommended this in hopes our diabetic cat would be attracted to the litter box.  It didn't work for that purpose, but it does have good outcomes in other homes.","Revisado en los Estados Unidos el 24 de diciembre de 2024","Vet recommended","5.0 de 5 estrellas","","0","1 Pack"
"R3MCYS5JU7F5CV","Denise W.","We got a new litter box for our cats and they did not want to use it. I got this to try it out and it seemed to work! After using this attractant they started to use the second litter box in addition to their original. Great for anyone trying to get a cat or kitten to take to a new box.","Revisado en los Estados Unidos el 24 de diciembre de 2024","It Worked!","5.0 de 5 estrellas","","0","1 Pack"
"R1EFW8XCT87VOY","Shelby","We got a kitten in April. He was so cute but really stressed out about the litter box and kept going right next to it, or in one spot in our home. I wish someone had told me about this product sooner. We literally tried every option before this and it failed. The first day we put this in the boxes, the problems stopped. No accidents since I started adding this. I could cry- it has saved our household.","Revisado en los Estados Unidos el 25 de septiembre de 2024","Immediately works","5.0 de 5 estrellas","","0","1 Pack"
"R21N7YRM8BKYVE","Sigma Esoteric","This is a really good, simple, litter. It's just a clay, but it clumps, and it's unscented. We go through around 60 pounds every month.As much as we like this, we're going to upgrade to the step above in their product line (with an herbal litter attractant.) We use their herbal attractant as is, so it just makes sense to simplify.","Revisado en los Estados Unidos el 23 de septiembre de 2024","Perfect for our needs","5.0 de 5 estrellas","","0","1 Pack"
