"id","profileName","text","date","title","rating","images","helpful","variant:"
"RA5PV0S26U6PA","Cécile","Apesta muy rápido! No elimina olores de absolutamente nada, con una visita de mi gato y orín ya huele feo a pesar de remover. No agglomera bien tampoco. Muy decepcionante.","Revisado en México el 17 de noviembre de 2025","No recomiendo","2.0 de 5 estrellas","","0",
"R3ABI2PS5ODA1V","Claudia veronica ibarra ibarra","La mejor arena, dura bastante","Revisado en México el 27 de octubre de 2025","Es lo mejor en arenas","5.0 de 5 estrellas","","0",
"R2HSBTQ4VXCRSL","Civasco","Esta tierra la consigo más barata que Amazon y es la misma marca ,la consigo en 134 pesos,Amazon debería darla más barata ,yo la usé y es excelente si es funcional y me gusta porque no hace glóbulos, es más fácil su limpieza ,si la recomiendo pero búsquelo en tienda de animales,como es de purina ,le digo Amazon baje más el precio ,yo me compré 3 sacos de 4.5 kilos me salió mas barato que de 880 pesos y solo pague 402 pesos ,si compras 4 sacaos pagas 534 pesos","Revisado en México el 10 de mayo de 2025","Amazon debe investigar más sobre precios","5.0 de 5 estrellas","","0",
"R1OXSVSETO9KQ9","Maria Vela","Esta are a la hemos usado por años, solía tener 4 gatitos ahora sólo tengo 3 =(
Dura bastante y controla olores, sólo sí tiene que estar donde haya ventilación, pero es una buena opción si tienes varios gatitos","Revisado en México el 14 de octubre de 2024","Buena opción","5.0 de 5 estrellas","","0",
"RP1LSUGAJLLIL","Car","Terrible arena, no les gusto a mis gatas","Revisado en México el 25 de agosto de 2024","Terrible","4.0 de 5 estrellas","","0",
"RB2V3Q7F55L66","Rod R","Para gatos; sin duda, la mas conveniente, absorbente y de fácil limpieza. Absorbe olores perfectamente","Revisado en México el 10 de junio de 2024","La mejor arena","5.0 de 5 estrellas","","0",
"R71EG7YCFUSI5","Eria Salazar","Si te gustan las arenas no aglutinantes está bien, particularmente yo he usando antes y está es de buena calidad pero empieza después de unos días a mojarse más de lo que son solo la pipí del gato, y puede que el gato ya no la quiera usar, mis gatos hasta el momento 2/3 la han aceptado","Revisado en México el 20 de marzo de 2024","Es lo que es","4.0 de 5 estrellas","","0",
"RWLUMTQ9XZXP0","Susy","En mi experiencia de varios años teniendo gatos de interior en casa, esta ha sido la mejor arena, si absorbe los olores. Vale la pena!","Revisado en México el 7 de marzo de 2024","La mejor arena para gatos","5.0 de 5 estrellas","","0",
"R17EXZEXU8H17W","Paulina","La he usado un par de años y es muy buena, dura entre 10 o 15 días y es fácil mantener la limpieza.","Revisado en México el 12 de febrero de 2024","Es muy buena arena","5.0 de 5 estrellas","","0",
"RPQ4BWF523711","suhey","De las peores arenas que he probado:(","Revisado en México el 27 de enero de 2024","Inservible","1.0 de 5 estrellas","","0",
"R3RU3LNVK523FM","Pao V Flowers","Lo que más amo es que no se aglutina entonces es súper fácil de limpiar cuando haces el cambio completo de arena. Además no huele mal tan rápido. Solo ojo por que como está ahí la pipí sale el súper olor a amoniaco en el cambio completo. Me gusta mil veces más que la scoop away.","Revisado en México el 18 de enero de 2024","Buen precio y práctica.","5.0 de 5 estrellas","","0",
"RVV64OXNN2COV","Viviana Falcón","Esta marca es de mis favoritas, definitivamente es muy buena con la absorción de olores, es duradera y no es tan complicado en relacion con la limpieza.","Revisado en México el 10 de enero de 2024","De mis favoritas","5.0 de 5 estrellas","","0",
"R166TIG6BIYAXJ","Cecilia Ram","No es aglomerante, lo que me gusta más. Es cómoda y no huele mañ","Revisado en México el 7 de enero de 2024","No huele mal","4.0 de 5 estrellas","","0",
"R6AVTXWHV3E32","Fernando","No le compren está arena. No se ve de buena calidad y huele feo muy rápido","Revisado en México el 27 de diciembre de 2023","Muy mala","1.0 de 5 estrellas","","0",
"R563XQCMOMGMX","María Real","No la volveré a comprar, al no aglutinar toda la arena toda se ensucia rápidamente con los consiguientes olores y desperdicio, además de q son como piedritas q los gatos se las llevan en la patitas y producen mucho polvo. Mucho mejor una aglutinante y con control de olores como la Scoop Away q para mi es la mejor solo q no la conseguí por eso compre esto… que creo terminaré tirando. Lastima de gasto porque no es nada barata !!","Revisado en México el 14 de diciembre de 2023","No aglutina, hace polvo , toda la arena se contamina rápido .","1.0 de 5 estrellas","","0",
"R2V1BR0R0XHP7S","Eduardo Antunez","No loncompren, de muy mala calidad, no aglutina para nada y hace mucho polvo que puede ser dañino para los michis, me ha tocado que cuando la avientan con sus patitas para cubrir, han salido estornudando eso no es lo ideal, inviertan un poco mas por una mejor arena. No la recomiendo en nada.","Revisado en México el 6 de diciembre de 2023","Arena gato","1.0 de 5 estrellas","","0",
"R3FPFMRP19916K","Ángeles Ochoa","No había tenido ningún problema usando esta arena, tenía 2 años sin cambiarla pero esta última vez no aglutino nada, la tuve que cambiar a la semana","Revisado en México el 17 de octubre de 2023","Bajo la calidad","2.0 de 5 estrellas","","0",
"R2CP8IUX514ABN","Azul","Tengo 3 garos e probado infinidad de marcas y precios y esta para mis 3 gatos fue la mejor, dura mucho sin olor mal y ademas no deja polvo cuando la pisan, es excelente la recomiendo","Revisado en México el 8 de octubre de 2023","Es la mejor arena, para los gatos","5.0 de 5 estrellas","","0",
"R1ZGDDQD3NLZJP","Engel","Lástima que ya no esté disponible, es excelente.","Revisado en México el 6 de octubre de 2023","Muy buena","5.0 de 5 estrellas","","0",
"R3FSHY7HV1QG7X","Leticia Magdalena Calvillo Castro","El producto en su todo bien, mas bien logística es mi problema ya que venia rota la envoltura y se venia tirando.","Revisado en México el 4 de octubre de 2023","Me gusta","3.0 de 5 estrellas","","0",
"R3BAQQSSKO0TEQ","Rocío P.","Es fácil de limpiar el excremento, tiene un olor agradable, pero no algutina la pis. Para usar con más de 1 gato, no la recomiendo, porque no se puede sacar con la pala todo, solo popo y la pis se seca y hace oler la arena. En mi opinión, no la recomiendo.","Revisado en México el 28 de septiembre de 2023","No es aglutinante","2.0 de 5 estrellas","","0",
"R3DE74JMBJYL8D","Nicaa66x","de las mejores arenas que puedes comprar, la recomiendo mucho si solo tienes pocos gatos, 1 o 2.","Revisado en México el 11 de septiembre de 2023","RECOMENDADO","5.0 de 5 estrellas","","0",
"R339X9G6EF0ONJ","Zorrito's Club","Es una buen producto, diferente a la arena convencional, no aglutina las heces, las solidifica y se deshacen en la arena. Además de que encapsula el mal olor.

Me gusto que dura mucho el producto y a mis dos gatas les encanta usar su cajita de arena.","Revisado en México el 6 de septiembre de 2023","No aglutina.","5.0 de 5 estrellas","https://m.media-amazon.com/images/I/71llf3lQfCL.jpg","0",
"R17KQ5Z5RDXZS8","Nancy Sada","Excelente calidad
Sin olor
Gruesa la arena no hace polvo","Revisado en México el 25 de agosto de 2023","Arena para gatos","5.0 de 5 estrellas","","0",
"RBPJ8MHBL38GQ","José navarro","Es la mejor arena que he usado para mi gatita, retiene muy bien los olores y no sale tanto polvo cuando la usa 10/10","Revisado en México el 12 de agosto de 2023","La amo","5.0 de 5 estrellas","","0",
"R2SSZZX2HB55XM","ana acosta","Elimina olores y rinde muy bien","Revisado en México el 12 de agosto de 2023","Recomendable","5.0 de 5 estrellas","","0",
"R2GB7UNQ2DXAIA","Jose Abraham Vazquez Bolaños","Esta marca de area la descubri por casualidad, y cuando la empece a poner a mis gatitos, realmente se noto la diferencia. NO LIBERA NADA DE OLERES, nada es NADA... atrapa muy bien los olores de pipi y popo del gato. Y a diferencia de oras arenas que ""aglutinan"" esta no lo hace, se va desbaratando un poco, esto beneficia en que no se desperdicie tanta arena como las que si aglutinan.","Revisado en México el 23 de junio de 2023","La mejor marca","5.0 de 5 estrellas","","0",
"R20AW77237LMLE","Mauricio Cortes","No libera olores, pero no aglutina, entonces no puedes retirar la zona de orina, y al final se va ensuciando todo poco a poco, y el gato rechaza toda la arena. No la recomiendo.","Revisado en México el 21 de mayo de 2023","No aglutina","3.0 de 5 estrellas","","0",
"RGSRC5520H5SK","Fam duarte","Tengo un gatito surron, y la arena dura en buen estado mucho tiempo, su arenero está en la sala y a veces pregunto a las visitas si les llega añgun olor a gato y siempre responden que no, aparte cuando el gato orina huele como a detergente.","Revisado en México el 29 de abril de 2023","Excelente, no hay mejor","5.0 de 5 estrellas","","0",
"R1O88PHT2XD5XH","Cliente de Amazon","Que triste es comprar algo donde no cumple con lo que dice, en verdad este producto no aglutina la orina para nada… en lugar de simplificarme la vida me la complicó. Lo único bueno que puedo rescatar de aquí es que si elimina un poco los olores, pero hasta ahí.
Compré 2 bolsas espero poder regresar una de ellas que aún no he abierto.","Revisado en México el 29 de abril de 2023","No aglutina","1.0 de 5 estrellas","","0",
"RHA2AC87376DU","Ant Gonzz","Buen producto","Revisado en México el 20 de abril de 2023","Buen producto","5.0 de 5 estrellas","","0",
"RQ54IASX16C22","Georgina","En relación calidad-precio, volvería a comprar el producto","Revisado en México el 10 de abril de 2023","No tan absorbente, pero eficiente","4.0 de 5 estrellas","","0",
"R3EUVJ8MX7WHCN","Nayeli","Me encanta esta arena precisamente porque no aglutina. Tengo 5 gatos adultos y la arena que aglutina no me dura ni una semana y en cambio esta me dura hasta 3 semanas. Llego bien empacada y protegida.","Revisado en México el 29 de marzo de 2023","Mi arena de gato consentida","5.0 de 5 estrellas","","0",
"R1OGCLEG4QMLGE","Veronica","Es una arena simple, no aglutina la orina y permite los malos olores.","Revisado en México el 3 de marzo de 2023","No aglutina","1.0 de 5 estrellas","","0",
"R2F39120NMGCPG","Angélica García Alvarez","Me gusto la arena , sobre todo hoy día que este tipo de materiales empezó a subir mucho de precio. Ojalá y se apoyara un poco a esta iniciativa que antes de tanta campaña comercial, algunos y’a teníamos para el cuidado y rescate de animales . Es decir costo- cantidad !","Revisado en México el 20 de febrero de 2023","Buen control de olor","5.0 de 5 estrellas","","0",
"RAKKMQVXA60AD","Maria gabriela","mirringo es mil veces superior. son piedras muy separadas aglomera medianamente bien pero no tiene olor ni fragancia y no disimula mucho el olor de amoniaco","Revisado en México el 9 de febrero de 2023","no esta mal pero no es la mejor aglomerante ni cerca.","3.0 de 5 estrellas","","0",
"RGN133I5U2N05","Julieta","NO ME GUSTO! que son más mini rocas que arena, no mantiene olores, rápido empiezan los malos olores a las pocas pipis, el aglutinado no es uniforme.","Revisado en México el 15 de enero de 2023","Esperaba mejor calidad por la marca.","3.0 de 5 estrellas","","0",
"R23ZRHF3I47F8E","Fátima","Es la primera vez que compro está arena y me encantó, retiene muy bien los olores y aglutina bien la orina","Revisado en México el 19 de diciembre de 2022","Excelente producto","5.0 de 5 estrellas","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif
https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif","0",
"R3FY5T3OYLS8N0","Carolina Santander","Excelente producto y entrega","Revisado en México el 13 de diciembre de 2022","Excelente producto y entrega","5.0 de 5 estrellas","","0",
"R2R2OLY0U3SACI","Skyzonm","La arena no previene el mal olor se las heces no se las recomiendo se queda pegado en las patitas de mi gato no es muy higienica, al primer dia de uso la tire , NO GASTEN SU DINERO EN ESTO.","Revisado en México el 31 de octubre de 2022","Mal olores","1.0 de 5 estrellas","","0",
"R2Q8Y393Q2SIRK","kms","No se adhiere a las patas es muy práctica.","Revisado en México el 11 de octubre de 2022","Excelente!!!","5.0 de 5 estrellas","","0",
"R1Y84M921A4QEM","Julia","No apelmaza la orina solo la popó y entonces las bolitas de pipí no se forman , en cuánto al olor muy buena","Revisado en México el 28 de septiembre de 2022","Regular","3.0 de 5 estrellas","","0",
"R14TMULWTAYDZV","Danielmydear","He probado mejores a un precio más bajo","Revisado en México el 8 de septiembre de 2022","No es bueno","1.0 de 5 estrellas","","0",
