"id","profileName","text","date","title","rating","images","helpful","variant:"
"R282699TWYLE55","Enrique Morales","Es la mejor, es muy aglutinante y mantiene con buen olor el arenero siempre y cuando sea constante la limpieza.","Revisado en México el 20 de enero de 2026","Muy rendidora","5.0 de 5 estrellas","","0",
"R2WOWA07MCAOAV","No puedo recoger mi pedido, el lugar donde lo dejaron, locker llafmado Esquites en Rinconada de Uranio, esta fuera de servicio, tiene dos días apagado y no se puede abrir con escaneo, la pantalla está inactiva.","Es mi producto favorito de su tipo, antes dije que no había recibido el paquete y así era, pero ya pregunté entre los vecinos y ya lo encontré... Gracias.","Revisado en México el 11 de enero de 2026","Ya lo recibí","5.0 de 5 estrellas","","0",
"R3S3KYPC0H1ZRU","Judy Foot","You can’t beat the home delivery.","Revisado en los Estados Unidos el 27 de diciembre de 2024","Best cat litter available.","5.0 de 5 estrellas","","0",
"RV6XHLPM28JKY","Cuddles Millon","I have bought this for many years, but the litter that came in October looks and feels very different.  And I now have a strong urine smell.  Anyone else have this problem??","Revisado en los Estados Unidos el 4 de diciembre de 2024","Has anyone noticed a big change in this litter?","2.0 de 5 estrellas","","0",
"R369UNRG9WVF4W","monika m. mendez","For me my opinion and recommendation for those who really hate to smell odors , buy this product & you wont regret it!","Revisado en los Estados Unidos el 15 de noviembre de 2024","Best cat litter!","5.0 de 5 estrellas","","0",
"R19N7KFVMHJ2XL","Syd","Idk why but when I ordered this, the individual packs just seemed to be worse than the box version I previously bought. The clumping, tracking, and smell prevention all seemed to just be lackluster.","Revisado en los Estados Unidos el 28 de octubre de 2024","Not same as box?","2.0 de 5 estrellas","","0",
"R1IURMRH5CBK7H","Sally","No logging from store","Revisado en los Estados Unidos el 31 de julio de 2024","Cats","5.0 de 5 estrellas","","0",
"RA7GL9EGLF6X2","Capt. Bob","I have ordered this Kitty Litter contained in 4 separate bags several times, for ease of use. This time, when I opened the plastic covering and took out the first bag, it was leaking. It turns out all four bags are leaking, because the bottom of the bags were not properly sealed .I am losing a lot of the kitty litter and it is extremely hard to handle.","Revisado en los Estados Unidos el 15 de febrero de 2024","Good litter in broken bags","3.0 de 5 estrellas","","0",
"R1CAG18U1FDCQC","soulsearcher","Love this stuff, never going back. But, as you replace your cat box, if at all possible, do it outside. This is not dustproof. You'll  be dusting nearby items. After the initial filling, it's  great. I scoop her box every night and wipe wet spots down with a neutralize and replace lost sand. So, this item can last and control order for a long time- maybe up to a month, with my routine. Awesome! Because who likes cleaning a litter box anyway? And who would leave poop in their own toilet?? Ew.I can't  really comment on litter tracking because she is very thorough about her paw wiping- good girl!Side note: I fill mine kind of deep so she can FULLY bury.  Even aside from the daily scoop and neutralizer, I find that sand depth makes a HUGE difference for odor control. Yes, initially it cost a little more to do that but in the long run? It lasts longer, works better and you actually save money.** PLEASE, provide a LID COVERED, privacy cat box,  kitty will love you for it! Same as you, kitty prefers not to pottie in front of housemates!","Revisado en los Estados Unidos el 27 de diciembre de 2023","Yes! Thumbs up. Finally!... And some requests","5.0 de 5 estrellas","","0",
"RBGM8KTLM7MVV","Jennifer Bredfeldt","Best cat litter out there, especially no smell!!","Revisado en los Estados Unidos el 11 de noviembre de 2023","Have ordered this many times","5.0 de 5 estrellas","","0",
"R3UCZUHI2OE6WL","Sagg","purrrrr-fect!","Revisado en los Estados Unidos el 5 de noviembre de 2023","Litter!!!","5.0 de 5 estrellas","","0",
"R2A6NLVTRP3WUN","Tracey M. Rote","I have used Scoop Away for years. This product looked like a dark grey sand. The cats used it a couple of times, and it didn't clump. I had to buy new litter because they wouldn't use it. The mess stuck to their paws. If the company decided to change their product, they should inform their customers!","Revisado en los Estados Unidos el 28 de septiembre de 2023","Not the same as previous Scoop Away","1.0 de 5 estrellas","","0",
"R3S9Y62JQCZRG9","Patricia","Wonderful only kind I use only kind my cat likes! Best service ever!","Revisado en los Estados Unidos el 28 de julio de 2023","Came very quick!!!!","5.0 de 5 estrellas","","0",
"R2H1RJMT95CIHY","D.Q.G.","This is best litter but i paid $20.00 less for same amount at Target today!","Revisado en los Estados Unidos el 17 de junio de 2023","Outrageous Amazon Price currently!","5.0 de 5 estrellas","","0",
"R3TGGEMGSKFS5Q","Joanne","It’s cat litter! What do you think?","Revisado en los Estados Unidos el 24 de septiembre de 2022","I like the individual bags but it’s very heavy to hall in after delivery","5.0 de 5 estrellas","","0",
"R3UD8M0XN8PCV5","OnlineShopper","This is my favorite litter.  It clumps nicely and absorbs odors like no other.  I especially like the new packaging... 4 smaller bags are much easier to handle than 1 large bag.","Revisado en los Estados Unidos el 19 de agosto de 2022","Can't be without....","5.0 de 5 estrellas","","0",
"R2APNXEBRJX8KK","rpv","This used to come in a big box, which was heavy, but it worked.  It now comes in 4 small bags.  Much lighter, but the bags are TERRIBLE.  (1) They are very difficult to open.  The bags are ""perforated"", but don't tear along the perforation, or if they do, the perforation isn't below the sealing point, and you need scissors anyway to open the bag.  (2) They are ""resealable""?  Hah!  The tape is very hard to get off, and once off, doesn't want to reseal.  So I keep a 1-gallon plastic pitcher by the litter box and, once I open the bag, I pour what's left into the pitcher.But I do like the litter.  It clumps nicely.","Revisado en los Estados Unidos el 7 de agosto de 2022","Love the litter and price, the packaging is AWFUL.","3.0 de 5 estrellas","","0",
"RX0MDIYWZIMPD","Robert Baisdon","Love the product, value was great","Revisado en los Estados Unidos el 21 de julio de 2022","It does its job,very important","2.0 de 5 estrellas","","0",
