"id","profileName","text","date","title","rating","images","helpful","variant:"
"R2EYFP092IXPXZ","Grace","Sticks to their paws and gets everywhere","Revisado en los Estados Unidos el 20 de enero de 2026","Not good","1.0 de 5 estrellas","","0",
"R3SE7B05JQS6PL","Lexi Sublett","This litter gets absolutely everywhere. I never had problems with litter getting outside of her litter enclosure and now I am finding it all over my apartment. It is always on her fur and in her bed. It’s very dusty too. Would not recommend.","Revisado en los Estados Unidos el 19 de enero de 2026","Gets EVERYWHERE","1.0 de 5 estrellas","","0",
"R2ERWI4CWOWQTA","Joelyn Smith","The odor control is not the same or as effectiveI have noticed this delivery, and preceding delivery, that the box no longer stares scented(?) with Glade. The litter appearance has changed as well. I am using more litter now too! I have 2 cats and am using 2 boxes every 2 months. In the past, I was able to use ol1 box every 2 months for the same cats!","Revisado en los Estados Unidos el 17 de enero de 2026","Decline in overall effectiveness including odor control.","3.0 de 5 estrellas","","0",
"R3FKG343ME3VNJ","Lili Blanc","Une bonne année 2026 à tout le monde. Je suis tellement déçue, cette litière colle aux pattes de ma chatte. L'autre que j'ai acheté ne faisait pas cela, mais ne sentait pas bonne.","Revisado en Canadá el 1 de enero de 2026","Déception complète...","1.0 de 5 estrellas","","0",
"RHFYDX2QGKSYU","David C. Huckabay","The product is fine. Too bad I can't edit the frequency of shipment in my subscription, or even cancel it as the Amazon page to do that is ""unavailable"" right after Xmas.Product 5 starsAmazon -1 star","Revisado en los Estados Unidos el 28 de diciembre de 2025","Amazon will not let me edit frequency of shipment, throws 404 error.","1.0 de 5 estrellas","","0",
"RYCVN2GG2X19V","Aly","Defective. It does not clump. Only sticks to my cat's paws. The urine stays on top of the litter and will not absorb.","Revisado en los Estados Unidos el 23 de diciembre de 2025","Does not clump","1.0 de 5 estrellas","","0",
"R6UZ7CKOMG1UO","KierstinThese","Maryann and Ginger Loves lightweight potty","Revisado en los Estados Unidos el 18 de diciembre de 2025","Smell and clumping","5.0 de 5 estrellas","","0",
"R3FL1BKICRNNDQ","Renee","It tracks everywhere in the house. It doesn’t clump well and it also does not hide odors well. I would not recommend.","Revisado en los Estados Unidos el 6 de diciembre de 2025","Not great","1.0 de 5 estrellas","","0",
"R2UWH4BYQOC96X","Sandy","Nice  easy to pour  lightweight","Revisado en los Estados Unidos el 2 de diciembre de 2025","Lt weight","5.0 de 5 estrellas","","0",
"R1NTRXY2EXEFBK","Danny","EXPENSIVE BUT NO STINK AND LIGHT WEIGHT","Revisado en Canadá el 2 de diciembre de 2025","DOES WHAT IT SAYS","5.0 de 5 estrellas","","0",
"R5COJCNJTRXRY","Amazon Customer","I switched to this litter because they discontinued Arm and Hammer Light Weight. ( For what reason? I have no idea. Very minimal dust, tracking and solid clumps. I read these reviews, and they sound like they’re describing a completely different litter! This litter is horrible! It tracks like cement, the dust is blinding, I can’t even pour it due to the fact that I choke from the dust that comes out with the litter. Scooping it in doesn’t make a huge difference either.  I wake up every morning  to a coating of dust and tracked litter hardened on my wood floors. I hardly ever write reviews unless  a product  or purchase is either  fabulous or terrible.  I think this litter is terrible!!!","Revisado en los Estados Unidos el 25 de noviembre de 2025","The Worst Litter!","1.0 de 5 estrellas","","0",
"RI8LM3FANH4NF","Stephanie","Best litter I've ever used. Low dust and tight clumps that don't crumble into the rest of the litter. Perfect for multi cats or kitties with ibs issues.","Revisado en los Estados Unidos el 10 de noviembre de 2025","The best.","5.0 de 5 estrellas","","0",
