"id","profileName","text","date","title","rating","images","helpful","variant:"
"R1GG2HL5824CXD","A","Al contrario de las que no son lightweight, esta arena trae una cantidad increíble de polvo, además de que vienen sueltas en la caja de cartón lo cual hace que su uso sea inconveniente. Vuelvo a comprar las pesadas que vienen en bidón plástico.","Revisado en México el 21 de febrero de 2021","PURO POLVO","1.0 de 5 estrellas","","0",
"R35Z8A12X0IQ48","Mauricio","A mis gatos les gusta, asi qu la recomiendo.","Revisado en México el 29 de junio de 2020","Bastante buena","5.0 de 5 estrellas","","0",
"R2ORKHKAN9WV0X","Laura","Excelente producto, muy buena absorción y contiene los olores","Revisado en México el 9 de marzo de 2020","Excelente","5.0 de 5 estrellas","","0",
"R1BAPWDSMHB2OS","Jason","I’m disappointed in this litter. It gets everywhere and doesn’t have adequate smell control. I won’t buy this product again and wouldn’t recommend to anyone.","Revisado en los Estados Unidos el 30 de enero de 2026","Wouldn’t buy again","1.0 de 5 estrellas","","0",
"R36ZB2O69FGUXG","Vasil","Worst litter ever! Makes a huge mess. Sticks everywhere and very hard to clean from cats fur.","Revisado en los Estados Unidos el 29 de enero de 2026","Do not buy!","1.0 de 5 estrellas","","0",
"R27LIRFX6FJK7L","LMS","Best litter made. Easy to clean. Does not stick to the litter box or scoop. Very light. No smell. Highly recommend.","Revisado en los Estados Unidos el 27 de enero de 2026","Best Litter Ever Made","5.0 de 5 estrellas","","0",
"R16PPM8MPXSH39","CS","Cat parent of 14 years and I think this is one of the worst litter I’ve ever purchased.Pros:LightweightDust freeGood clumping/easy to cleanGood odor controlLong lastingCons:Tracks all over the house, from our bed to kitchen sink. I even find litter in his food bowl, which means possibly he ingested some.Often got stuck on my cat’s paws like a gum and I had to clean his paws and fur. Again this also means he ingested the litter while cleaning himself at times that I didn’t see it got stuck.Overall, it was a terrible experience for our cat unfortunately and I will not be buying again.","Revisado en los Estados Unidos el 27 de enero de 2026","Tracks and sticks EVERYWHERE","2.0 de 5 estrellas","","0",
"R1RN9OB3WGCECR","Gloria","Tracks worse than any litter I’ve ever tried.","Revisado en los Estados Unidos el 26 de enero de 2026","Horrible tracking","1.0 de 5 estrellas","","0",
"RZ1BHI8ZCPUNY","c wolf","I really like this litter. It clumps and I don’t notice any odor at all. The good clumping makes cleaning the litter box easy and quick. I have tried many litters over the years and this one is my favorite.","Revisado en los Estados Unidos el 23 de enero de 2026","Great Kitty Litter","5.0 de 5 estrellas","","0",
"R3DX6ZMR5YBOCC","martywalker5","I like the box rather than the bottle.","Revisado en los Estados Unidos el 23 de enero de 2026","Kitty litter","5.0 de 5 estrellas","","0",
"R1RLEXBCSZ0Z6H","Sandra M Davis","It is definitely lighter! But that is it.... Doesn't clump very well. GETS EVERYWHERE... I have one cat only. She is very particular... Hates messes.....and this made its way down the hall from the mudroom all the way to the living room.... Never had a litter to make its way there..... Its light alright, light enough to be tracked EVERYWHERE ....
Don't clump well, and not the best at odor control.","Revisado en los Estados Unidos el 21 de enero de 2026","Light but not functional with clump and odor","2.0 de 5 estrellas","","0",
"R2PYWF404YK97B","Alpacagirl72","Works good for 3 house cats, no bad smell","Revisado en los Estados Unidos el 21 de enero de 2026","Kitty litter","5.0 de 5 estrellas","","0",
"R2X60T9A96HAC5","Amazon Customer","Love this. It doesn't make our house stink like the glade ones did. Our clothes would even smell like glade. Also its so light and I can dump the whole box in. We have 4 kittens. And so far we are enjoying this litter.","Revisado en los Estados Unidos el 21 de enero de 2026","Would recommend","5.0 de 5 estrellas","","0",
"R3A6NRFX6H3ICG","Crash","I have ALWAYS had kittens/cats in my life from a very young’n lil girl to the present and mostly not just one but multiple strays that seem to find me before I find them!

In my 53 years young and almost another one about to be added, I haven’t found one cat litter that did what it says it does as they all at least have 1 things they claim that it doesn’t do.

It’s always a nuisance, mess, and the worst chore that one quickly puts off until the litter is clay / mud, your scoop is covered with the sticky goo and what little flecks managed to survive the procrastination can easily be found all over your floor, carpet and ugh, sadly even on the counter.

It doesn’t matter if you just bleached the community restroom all in one small box and put brand new litter, that, “whatever smell claimed,” may smell great a refreshing right then but as soon as 4 paws of fur ball jump inside for that private moment, you are going to smell whatever number 1 or 2 rapidly climbing your nose that seems to only intensify with the need to cover that never seems to ever cover what it was suppose to.

It’s not just this brand of litter, it’s across the board these days but, at least they are making an attempt and that’s a plus in my book for any business!","Revisado en los Estados Unidos el 21 de enero de 2026","Cats Paw Not Pleasantly Pristine","2.0 de 5 estrellas","","0",
"R3NGR75WARGQVP","Brandon S.","What can i say, it's a large, single bag, of lightweight cat littler. I got the unscented version because i find cat smells and even good smells don't make it any better. It clumps well, it's light for the amount, easy to clean. If this sounds good just get it.","Revisado en los Estados Unidos el 20 de enero de 2026","Great cat litter","5.0 de 5 estrellas","","0",
"R2UEZ5505DI4NW","Maria Moreno","It’s definitely not 99.9% dust free","Revisado en los Estados Unidos el 19 de enero de 2026","Super dusty","2.0 de 5 estrellas","","0",
"R2I15KCEW7AR9O","Shelby Svenson","I’ve been using Purina cat litter for a while now, and it’s been very reliable. It clumps well, makes scooping easy, and does a good job controlling odors. I also like that it doesn’t produce a lot of dust compared to other brands I’ve tried.

My cat adjusted to it right away, and the litter box stays cleaner for longer. Overall, it’s a solid, dependable choice and I’d definitely buy it again.","Revisado en los Estados Unidos el 19 de enero de 2026","Reliable and Effective Cat Litter","5.0 de 5 estrellas","","0",
"R226ZXUGBLS2RB","Raen L.","This litter gets everywhere. My litterbox is in the living area, so it’s important to me that we have a low-tracking litter. This isn’t it. Vacuuming every time the box gets cleaned does not help. Also, the litter dust really sticks in their paws (I am still finding little grey paw prints everywhere) and, especially after peeing, their hindquarters are covered in grey dust.","Revisado en los Estados Unidos el 18 de enero de 2026","Gets dust and litter everywhere","1.0 de 5 estrellas","","0",
"R3SUZWGA91Q2OH","Frank and Heidi Hoffman","My wife really likes likes it, and so do the cats.","Revisado en los Estados Unidos el 17 de enero de 2026","It's Great!","5.0 de 5 estrellas","","0",
