"id","profileName","text","date","title","rating","images","helpful","variant:"
"RDXV3LRS6JBDP","El Cid","Magnífico","Revisado en México el 26 de diciembre de 2025","Magnífico","5.0 de 5 estrellas","","0",
"RWD0AEZXAWUU3","Jeannie Montgomery","Good price for a wonderful product!","Revisado en los Estados Unidos el 3 de febrero de 2026","Would recommend","5.0 de 5 estrellas","","0",
"RZ4JI17OYMQ6G","Atacos","You cant scoop the urine out and it makes the house stink. I've noticed my cats been using the bathroom way less as well. May have to do with the litter change (its the same texture so something else might be a factor).","Revisado en los Estados Unidos el 30 de enero de 2026","Urine stays in litter","2.0 de 5 estrellas","","0",
"R1TC9KWUBRVBX8","Amazon customer","Good cat litter! No smell, it doesn't clump that well. It's a good value for the money, but it's a little sticky. It's durable, but it's not thick enough. I would buy again!","Revisado en los Estados Unidos el 30 de enero de 2026","Good cat litter","4.0 de 5 estrellas","","0",
"R1K6VWV56NQ1T3","Lynn D.","Does a horrible job at controlling the smell unfortunately.","Revisado en los Estados Unidos el 29 de enero de 2026","Bad Smell","1.0 de 5 estrellas","","0",
"R3L5JOY5C5UOI9","Fran Murphy","Great! I like the clumping vs the rock type texture. Ty","Revisado en los Estados Unidos el 28 de enero de 2026","Scooping made easy","4.0 de 5 estrellas","","0",
"R29B0VI5ERH9K3","Linda Conklin","Kinda pricy but works well and lasts a long time","Revisado en los Estados Unidos el 28 de enero de 2026","Works great","5.0 de 5 estrellas","","0",
"R1NJ1FGPWTWY5J","ebeeman","Exact same as in the stores, but packaged better( no plastic jug) and delivered to your door!","Revisado en los Estados Unidos el 25 de enero de 2026","Great price better packaging!","5.0 de 5 estrellas","","0",
"R36M2W6XUFIQHW","Raquel Fuentes","Great clumping and lite scent. Perfect for my 2 cats. I'm a very satisfied customer 😌","Revisado en los Estados Unidos el 25 de enero de 2026","Great clumping litter and scent","5.0 de 5 estrellas","","0",
"R3AE0IACR86JE2","Jocs mommy","Great value and low dustIt is trackable but I don’t know if any worse than the other variety.","Revisado en los Estados Unidos el 23 de enero de 2026","Low dust","5.0 de 5 estrellas","","0",
"RMYJNZ2NF4DZT","Katyusha","Awful! Doesn’t clump up like Arm & Hammer. The urine clumps just spread out like non-clumping sand and you cannot remove the soiled sand. Just a waste of money. It stinks and is tracked everywhere. I had to check several times to make sure this wasn’t “non clumping” - no, it said clumping on the label, but it doesn’t! Very poor product!","Revisado en los Estados Unidos el 21 de enero de 2026","Not really clumping at all! Stinks!","1.0 de 5 estrellas","","0",
"R2I1Q6SFE6O7WT","Makayla Vincent","I have two 2-year old cats who are very picky about their litter. My female was in a less than ideal situation before I adopted her, and her paws are very sensitive. We have had good luck with Tidy Cats, particularly with the 24/7 one. The litter is soft enough that my Penelope doesn't mind stepping on it for its intended purpose, but firm enough that it clumps together well after the fact. It has a relatively subtle clean smell to it. I feel like it does a good job to cover the scent of urine, but doesn't help the smell of feces much (which is okay - I use this litter with an auto-cleaning box so it doesn't stick around for long). In between auto-raking, I also manually scoop, which is easy enough due to the clumping. It is a bit dusty to pour in, as you can see from the video. But once its initially poured in, the dust amount is low. My cats both jump out of the litter box like wild beasts instead of just stepping out like civilized pets, so I can't speak on the efficiency of tracking. But I can tell you that cleaning around the litter box itself is easy enough either with a broom or vacuum. I like this brand overall, and think its a good product for the price.","Revisado en los Estados Unidos el 21 de enero de 2026","Good Litter, Good Value","4.0 de 5 estrellas","","0",
"R3EIKFAAUV0R5Y","Pristine Aericko","Great size and quality litter.","Revisado en los Estados Unidos el 20 de enero de 2026","Good size bag and good quality.","5.0 de 5 estrellas","","0",
"R1UWALYB42II2J","Andrea Sorto","Me encanta esta barema porque no se amesta fácilmente y fácil limpiar","Revisado en los Estados Unidos el 20 de enero de 2026","Gato","5.0 de 5 estrellas","","0",
"R2OQ7K5YUDHBP8","AliceZeee","This kitty litter is the one that I purchase mostly. The bag last a while, but I do prefer a larger size, more economical  I have two cats, age 3, and they don't make too much of a mess, some litter/dust do come out for the box so sweeping is a necessary task daily. I do not have an odor problem with this.","Revisado en los Estados Unidos el 20 de enero de 2026","Easy to Use","4.0 de 5 estrellas","","0",
"R6B7EIY91YARS","Debbi L","Tidy cats is one a very good priced cat litter.a very pretty and well made ornament","Revisado en los Estados Unidos el 19 de enero de 2026","a very pretty and well made ornament","5.0 de 5 estrellas","","0",
"R3FE2SGNB9J61T","nina jones","The tiny cat litter works good","Revisado en los Estados Unidos el 18 de enero de 2026","Cat litter","5.0 de 5 estrellas","","0",
"R2VBCZ2K2PCKFX","Nereantnis v","Está arena me sirve mucho a mi gata le encanta solo que no tiene olor así que tuve que comprar un desodorante y le hecho todos los días al limpiarla","Revisado en los Estados Unidos el 17 de enero de 2026","Es de buena calidad pero sin olor","5.0 de 5 estrellas","","0",
"R2DQ50LY7IXRDE","Mr. Stumeister","IT DOES WHAT IT IS SUPPOSE TO DO","Revisado en los Estados Unidos el 17 de enero de 2026","DOES THE JOB","5.0 de 5 estrellas","","0",
"R1PQU9ZPEP6K3D","Amelia J.","It clumps. It covers cat you-know-what. What more do you want out of cat litter?","Revisado en los Estados Unidos el 16 de enero de 2026","Works","4.0 de 5 estrellas","","0",
"R2L4YR2RHOG6LW","Suri Rodriguez","No permite escapar el olor","Revisado en los Estados Unidos el 15 de enero de 2026","Buena calidad","5.0 de 5 estrellas","","0",
"R1TIIQBKQNIGBN","Amazon Customer","The quality of this product has changed. This is pure dust. Harmful carcingens that will have your throat and chest hurting from the fumes. I have used this product for years. Suddenly the plastic jugs were unavailable and they started selling this ""road gravel."" This product will harm you. Especially pregnant women, stay away.","Revisado en los Estados Unidos el 15 de enero de 2026","Do not buy this cat litter - dangerous for lung health","1.0 de 5 estrellas","","0",
"R3FX3Y0GTN2MCW","Talia Hensley","This litter was so easy to clean. wow.
thats like the best thing ever!","Revisado en los Estados Unidos el 15 de enero de 2026","so easy to clean","5.0 de 5 estrellas","","0",
"R3JUGF8AFXTVG4","Molly J","Chunkier then I expected but still works with my automatic cat box","Revisado en los Estados Unidos el 15 de enero de 2026","Chunky","3.0 de 5 estrellas","","0",
"R3BE0YQVMR3E4V","Susan Henderson","Good cat litter","Revisado en los Estados Unidos el 15 de enero de 2026","Cat litter","5.0 de 5 estrellas","","0",
"R2E59XKG5QGXGN","Melissa","It was good. However my Goldfish was on top of the bag. No separation.","Revisado en los Estados Unidos el 13 de enero de 2026","Goldfish vs cat litter","3.0 de 5 estrellas","","0",
"R2VRS2O8N7DWIN","KevO","As advertised. Odor control is top notch.","Revisado en los Estados Unidos el 13 de enero de 2026","Odor Controlled","5.0 de 5 estrellas","","0",
"R3NRO3D91P3PW6","A Sheets","This was a donation to cat shelter. It was a great value and made it affordable to a good cause.","Revisado en los Estados Unidos el 11 de enero de 2026","Donating","5.0 de 5 estrellas","","0",
"R1C56T01RJKS7O","sarah farley","Clumps very well but doesn’t cover the urine as well I have experienced with different products.","Revisado en los Estados Unidos el 8 de enero de 2026","Good product","4.0 de 5 estrellas","","0",
"RIIKQ0SJZENUP","Abby T. R. Turner","Clumpable is the best!! This product is best value for your buck! Keeps smell down!","Revisado en los Estados Unidos el 7 de enero de 2026","Big bang for your buck","4.0 de 5 estrellas","","0",
"R3JGE94APAIANV","Marcellus","Did they change the formula? Does not clump like it used to.","Revisado en los Estados Unidos el 3 de enero de 2026","Does not clump like it used to.","3.0 de 5 estrellas","","0",
