"id","profileName","text","date","title","rating","images","helpful","variant:tamaño"
"R1QMDLFMHAMFOW","Abigail","Es buena lo malo es que no atrapa bien el olor de los desechos del michi agustina bastante bien y se va perfectamente por el inodoro eso es bastante bueno","Revisado en México el 19 de enero de 2026","Casi perfecta","4.0 de 5 estrellas","","0","4KG"
"RGB35GDORWXHO","Yo","Aglutina bien pero si hace mucho polvito","Revisado en México el 3 de enero de 2026","Mas o menos","3.0 de 5 estrellas","","0","8KG"
"R6ZE57PWBJ1DM","Winny Sanabria","Compré esta arena porque me pareció interesante poder desecharla en el sanitario. Y es posible. El tema es que las esferas de arena son grandes, y mi gata tiene la costumbre de que sale de su arenera corriendo sin sacudirse, así que va quedando el rastro, y los granitos parecen balines por al rededor, y al pisar hacen demasiado reguero. Así que no es una buena opción para mi por ese lado.","Revisado en México el 2 de enero de 2026","Desechable en sanitario: si. Funcional para mi: no.","3.0 de 5 estrellas","","0","4KG"
"R6ZW1PBZ2JJCJ","Miguel Ramírez","Definitivamente aglutina muy bien y es súper fácil limpiar el arenero. Neutraliza el olor muy bien (a menos que no lo limpien seguido, no sean cochinos).
El único pero que le pongo es que sí hace mucho polvo, sobre todo los últimos paquetes que compré, viene la perlita como desecha y saca mucho polvo.","Revisado en México el 2 de enero de 2026","Aglutina bien, neutraliza el olor, pero hace polvo","4.0 de 5 estrellas","","0","4KG"
"R1AMQU8TM8120","DrDarkNBlurryVibes","Desafortunadamente la arena no funciona como la anuncian.
•Sí saca polvo (mucho)
•No aglutina bien
•Sí tapa las tuberías
•Huele muy mal a pesar de que limpio el arenero dos veces al día y lo lavo una vez por semana.
•Lastima las patas del gato.","Revisado en México el 30 de diciembre de 2025","No funciona como la anuncian","1.0 de 5 estrellas","","0","8KG"
"R1AH94OAEK3GOK","Mariana","Muy buena arena y fácil de tirar","Revisado en México el 11 de diciembre de 2025","Buena arena, no contiene tanto el olor","5.0 de 5 estrellas","","0","4KG"
"RUUKQDX6H2FA","Andrea C.","Super funcional","Revisado en México el 9 de diciembre de 2025","Muy buena","5.0 de 5 estrellas","","0","4KG"
"RZHOIJAG4523L","Ara B","Es la árena que más me ha gustado, no se riega tanto, y si se riega, no se pega, es fácil de sacudir, de barrer, por supuesto es cara, pero la puedo verter en el inodoro, cubre los olores, a menos de que sea poca arena en la caja, no funciona y no se pega en el fondo la humeda y por eso se filtra el olor.
Ojalá nos dieran mayores ofertas a los clientes, estoy en ""Planea y ahorra"" pero con el de 8KG","Revisado en México el 7 de diciembre de 2025","Mejor compactación, cubriendo olores, fácil de desehar en el inodoro","5.0 de 5 estrellas","","0","4KG"
"R250BOHTE9DL6W","ERNESTO SANTOVEÑA","Funciona correctamente y absorbe olored","Revisado en México el 5 de diciembre de 2025","Aglutina y absorbe olores","5.0 de 5 estrellas","","0","4KG"
"R2TW0OAGLJSQAA","Vanessa Mtz.","Es buen producto, aunque no retiene el olor y cuando me llegó la bolsa, llegó rota de abajo.","Revisado en México el 26 de noviembre de 2025","No retiene olor","3.0 de 5 estrellas","","0","4KG"
"R2MHIYKOVB3Y95","El colchón me llegó super rápido un día antes lo recibí, la verdad si está como lo venden a un buen precio, super cómodo más este que es semifirme, recomendable","Está súper bien, al principio se generaba olor por qué el gato estaba aprendiendo a usarla, ya ahora que tapa bien sus cosas no genera olor","Revisado en México el 13 de noviembre de 2025","Muy buena arena","5.0 de 5 estrellas","","0","4KG"
"R2CE0EIFKV1F2P","Norma Aguilar","Muy bueno el producto y mi 🐱 feliz","Revisado en México el 27 de octubre de 2025","Excelente","5.0 de 5 estrellas","","0","4KG"
"R3IRW4QFO660M","Angie Barboza","Solidifica muy bien, aunque no controla tanto el olor.","Revisado en México el 23 de octubre de 2025","Buena arena","5.0 de 5 estrellas","","0","4KG"
"R1ZXAD8OOKFZGF","Laura G.","Buena absorción de la orina","Revisado en México el 15 de octubre de 2025","Arena eficiente","5.0 de 5 estrellas","","0","8KG"
"RYLN3BD8X1FIV","Miguel Angel","Levantan mucho polvo, y mi gato deja la arenita en todos lados, no tiene buena absorción ni retiene olores, muy desagradable.","Revisado en México el 13 de octubre de 2025","No me gustó","1.0 de 5 estrellas","","0","4KG"
"R3R2SJH35DUNCD","GILBERTO","No la recomiendo se apesta enseguida, suelta polvo, causo alergia a mi gata","Revisado en México el 11 de octubre de 2025","Mala","1.0 de 5 estrellas","","0","4KG"
"R38PC6S66FE7QO","Madison Maybe","muy mala suelta polvo y se apesta enseguida, mi gata le dio alergia","Revisado en México el 7 de octubre de 2025","mala opción","1.0 de 5 estrellas","","0","4KG"
"RKJL7P1GLAV2W","Amelia Castillo","Excelente","Revisado en México el 4 de octubre de 2025","Buen producto","5.0 de 5 estrellas","","0","4KG"
"R2QF7386RHBAJ","Hiyiri M","No me gusto nada lo compré para mis gatos bebês y se les pegaba todo y se les hacía duro en sus patitas, además aunque es friendly para tirar en el baño si lo tapa un poco aunque sigas las instrucciones, me sirvió mucho mejor la arena Okko de madera, aparte si tiene polvo","Revisado en México el 2 de octubre de 2025","No recomiendo comprar","2.0 de 5 estrellas","","0","4KG"
"R148D80VRTMYP5","selene del rio","Excelente arena, aglutina muy bien , no levanta polvo y muy buen precio","Revisado en México el 25 de septiembre de 2025","Excelente arena","5.0 de 5 estrellas","","0","4KG"
"R291X2Q34QJHD2","Alexia Silva","Del producto hasta hoy q por fin llegó después de 4 días y 5 cancelaciones por el mal reparto
A los gatos les gustó les fue comodo y si cumple lo prometido pero ya veremos ahora la duracion","Revisado en México el 22 de septiembre de 2025","Mal pésimo el servicio de reparto tardaron más de 4 días en repartir","4.0 de 5 estrellas","","0","8KG"
"R1PLSKW0SI1QGL","Chachi🌻","Excelente arena","Revisado en México el 15 de septiembre de 2025","Me gusta","5.0 de 5 estrellas","","0","4KG"
"RON0UJAGHRHW2","Denise VeGa","Horrible, muy sucia, no bloquea para nada el aroma de la orina, a pesar de limpiar dos o tres veces al día, demasiado polvo que a mi gato le dio muchos estornudos, no la recomiendo","Revisado en México el 9 de septiembre de 2025","No la compren","1.0 de 5 estrellas","","0","4KG"
"R228OQ75VLZZHE","Esmeralda Castillo","Aglutina bastante bien, orina y heces.
Es un poco cara, pero en relación a su función, si los vale","Revisado en México el 29 de agosto de 2025","Aglutina muy bien","5.0 de 5 estrellas","","0","4KG"
"R2FG4KNWAO2XD2","Erendira B.","Maravilloso producto, sólo sigan las instrucciones de uso","Revisado en México el 29 de agosto de 2025","Maravilla","5.0 de 5 estrellas","","0","4KG"
"R2TWNBW45W5BAU","Mar","Excelente producto, no deja polvo, es fácil de limpiar, lo que más me gusta es que no hay malos olores, me fascino","Revisado en México el 21 de agosto de 2025","Cumple con lo prometido","5.0 de 5 estrellas","","0","4KG"
